fiscal_year,SubCustomer,EntitySizeText,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractorCount,SumOfNumberOfActions,SumOfObligatedAmount
2002,Air Force,Medium,1,0,0,7,7,12,-262979.70856598124
2002,Air Force,Medium,1,0,1,85,85,96,3477983.1131690047
2002,Air Force,Medium,1,1,1,699,704,2195,844476419.5832766
2002,Air Force,Medium,NULL,0,0,22,22,0,0
2002,Air Force,Medium,NULL,0,1,4,4,4,70272.368241863
2002,Air Force,Medium,NULL,1,1,5,8,64,32135023.832221165
2002,Air Force,NULL,NULL,NULL,NULL,5,5,38,6259659.539697671
2002,Air Force,Unlabeled Vendor,NULL,1,1,1,1,10,6155553.588451587
2002,Army,Small,0,0,0,2477,2485,4718,8597934.086885469
2002,Army,Small,0,0,1,5945,5968,13304,137905027.23682418
2002,Army,Small,0,1,1,12836,13852,94880,22448769260.39766
2002,Army,Small,1,0,0,1,1,1,4357.891869807981
2002,Army,Small,1,0,1,1,1,11,23996.36361160289
2002,Army,Small,1,1,1,6,6,12,5836457.851014572
2002,Army,Small,NULL,0,0,9,9,4,18180.580144355168
2002,Army,Small,NULL,0,1,4,4,5,94384.9238730764
2002,Army,Small,NULL,1,1,2,2,0,0
2002,Army,Large+,0,1,1,203,291,32861,28780243309.27414
2002,Army,Large+,1,1,1,9,15,735,591993255.2090427
2002,Army,Large+,NULL,1,1,1,3,22,-1326393.844477734
2002,Army,Medium,0,0,0,314,316,511,-50877.02573879886
2002,Army,Medium,0,0,1,626,629,1245,54625353.39779382
2002,Army,Medium,0,1,1,2110,2264,13953,8324978015.7973585
2002,Army,Medium,1,0,0,36,36,57,-4532885.755140951
2002,Army,Medium,1,0,1,213,214,284,7398082.527577285
2002,Army,Medium,1,1,1,1325,1334,5522,2337566619.9101186
2002,Army,Medium,NULL,0,0,17,17,6,33188.0702710064
2002,Army,Medium,NULL,0,1,5,5,6,39779.38172409097
2002,Army,Medium,NULL,1,1,1,4,316,44419990.467111535
2002,Army,NULL,NULL,NULL,NULL,7,7,37,55105535.88451587
2002,Army,Unlabeled Vendor,NULL,1,1,1,1,4,44928775.704752825
