Customer,CSIScontractID,PrimeAwardPIID,PrimeAwardIDVPIID,PrimeAwardFederalAwardID,MinOfPrimeAwardDateSigned,MaxOfPrimeAwardDateSigned,SubawardAmount,PrimeFiscalYear
Defense,3210863,N0024411C0040,,,10/14/2011,3/16/2012,72112.5,2012
Defense,24732301,177,W9127810D0044,,10/24/2012,10/24/2012,564600,2013
Defense,19183513,6,N6247311D0017,,11/1/2011,8/27/2012,2770438.717,2012
Defense,2965081,N0002411C5301,,,4/13/2011,9/29/2011,424885203.4,2011
Defense,28271074,13,W9126G14D0017,,7/24/2014,7/24/2014,103094.4063,2014
Defense,19179380,7,N6247308D8659,,11/18/2011,2/28/2012,282927,2012
Defense,26391248,151,N0001911G0001,,11/5/2014,11/5/2014,523547,2015
Defense,25896227,N6554013F5032,NNG07DA18B,,4/24/2013,4/24/2013,406285.5,2013
Defense,28457553,353,FA860111D0009,,9/29/2014,9/29/2014,364000,2014
Defense,4851939,SPM7L312M0570,,,10/26/2011,10/26/2011,37992,2012
Defense,28105225,F928,SPM2DV11D8003,,2/20/2014,2/20/2014,31810.7297,2014
Defense,24720200,7,W9126G08D0048,,8/4/2011,9/20/2011,3381114,2011
Defense,26312890,632,W9124D08D0045,,8/5/2013,8/5/2013,53020,2013
Defense,27720481,5,N4008013D3512,,12/23/2013,12/23/2013,121500,2014
Defense,24686498,6,W9123811D0001,,10/23/2012,1/2/2013,73487.9805,2013
Defense,60363165,5,N0003910D0009,,12/18/2014,12/18/2014,4362514.5,2015
Defense,1394404,FA830711C1005,,,7/8/2013,9/4/2013,404172,2013
Defense,10126713,2,FA890309D8566,,10/19/2010,12/31/2010,2755276.5,2011
Defense,27903893,G023,SPM2DV11D8003,,2/21/2014,2/21/2014,31810.7297,2014
Defense,28069583,E816,SPM2DV11D0200,,11/12/2013,11/12/2013,42395.1085,2014
Defense,27588674,430,FA860111D0009,,10/1/2014,10/1/2014,36800,2015
Defense,19141224,JM20,N6247011D8013,,3/11/2013,4/3/2013,394308,2013
Defense,25392136,SPM7L213M3237,,,3/6/2013,3/6/2013,66320,2013
Defense,22418555,KGZ2,SPM50005DBP06,,4/11/2011,4/11/2011,22625,2011
Defense,27671159,43,FA480114D0007,,9/25/2014,9/25/2014,262245.4063,2014
Defense,28233851,311,W9124D11D0036,,4/16/2014,4/16/2014,50000,2014
Defense,26333215,F702,W91QUZ06D0012,,4/22/2014,4/22/2014,30000,2014
Defense,24818719,5,W912HN11D0043,,9/19/2012,9/25/2012,581169.1876,2012
Defense,25262311,N6833513C0106,,,2/27/2013,2/27/2013,374970,2013
Defense,26042608,AH13,SPM2DV11D0703,,5/9/2013,5/9/2013,41364.1484,2013
Defense,24748706,4,W912BU11D0003,,11/8/2012,11/8/2012,91179.1016,2013
Defense,17826229,N0010412FQC37,GS35F0747J,,9/1/2012,9/1/2012,175954,2012
Defense,28085780,DJ62,SPM2DV11D5000,,2/13/2014,2/13/2014,42869.5,2014
Defense,26320860,14,W912HP12D0003,,6/14/2013,6/14/2013,44986.7188,2013
Defense,22418780,KTF3,SPM50005DBP06,,6/30/2011,6/30/2011,74935.8984,2011
Defense,1400457,FA850911C0005,,,8/9/2013,8/9/2013,50000,2013
Defense,10089521,8,FA860111D0009,,10/7/2011,10/7/2011,26065,2012
Defense,62477067,SPE4A615V1490,,,10/20/2014,10/20/2014,56103.8398,2015
Defense,26300739,6,W56HZV10D0059,,4/2/2013,4/2/2013,26400,2013
Defense,27401076,SPRMM114PPL08,,,12/23/2014,12/23/2014,42323.4688,2015
Defense,25391596,SPM7L213M1856,,,1/7/2013,1/7/2013,35816.6,2013
Defense,9437748,47,DCA20002D5001,,6/27/2012,8/27/2012,21513960.88,2012
Defense,26346558,M0026413P0384,,,9/25/2013,9/25/2013,123653.2188,2013
Defense,26316460,11,W912BU12D0033,,8/8/2013,8/8/2013,109318.9531,2013
Defense,25405221,SPM7L513M1074,,,1/14/2013,1/14/2013,70758,2013
Defense,22348617,BMX1,SPM50004DBP10,,9/14/2011,9/14/2011,28098,2011
Defense,2362442,HR001112C0066,,,12/17/2012,8/22/2013,68039.4687,2013
Defense,25889271,2,N6600112D0060,,11/15/2012,11/15/2012,80866.5703,2013
Defense,26319432,DS01,W912DY10D0026,,9/4/2013,9/4/2013,1129997,2013
Defense,22417891,JGA7,SPM50005DBP06,,9/30/2010,9/30/2010,53414,2010
Defense,27203596,N0042114C0045,,,8/8/2014,9/30/2014,1249006.781,2014
Defense,25664848,9,FA867712D0089,,6/26/2013,9/18/2013,152712,2013
Defense,25865494,11,N0018912DZ051,,9/16/2013,9/16/2013,202100,2013
Defense,26064414,E725,SPM2DV11D8202,,8/22/2013,8/22/2013,81326.1406,2013
Defense,25224403,N0001413P1191,,,7/1/2013,7/1/2013,250000,2013
Defense,18854108,1,N0018912DZ052,,11/7/2012,11/7/2012,1185665.125,2013
Defense,22781188,Y89H,SPRPA111G001Y,,12/14/2011,12/14/2011,34416,2012
Defense,25889215,10,N6600112D0036,,10/17/2013,10/17/2013,128680.5625,2014
Defense,10105279,TJF6,FA877104D0003,,6/2/2011,6/2/2011,1555215,2011
Defense,19057006,1034,N4425505D7100,,10/17/2012,10/17/2012,62624.9609,2013
Defense,25433357,SPM7M813M1853,,,1/4/2013,1/4/2013,77030.5781,2013
Defense,28074171,BV05,SPM2DV11D1000,,12/19/2013,12/19/2013,79241.3377,2014
Defense,8568588,W91CRB10C0177,,,4/26/2012,5/21/2012,30971226.43,2012
Defense,22348363,BKB3,SPM50004DBP10,,9/30/2010,9/30/2010,83286.4375,2010
Defense,25155743,FA875013C0162,,,7/23/2013,7/23/2013,200000,2013
Defense,27627241,1726,FA810108D0006,,5/19/2014,5/19/2014,98630,2014
Defense,26150065,10,SPM4A611D0092,,4/11/2013,4/11/2013,26876.4004,2013
Defense,26432150,695,W9127810D0043,,10/14/2013,10/17/2013,954732,2014
Defense,18883760,19,N0025311D0003,,7/24/2012,8/9/2012,206122.5,2012
Defense,27588744,1404,FA862011G4025,,1/24/2014,9/8/2014,21781894.5,2014
Defense,28285700,CV01,W9127812D0037,,10/28/2014,10/30/2014,4093329,2015
Defense,24722220,5,W9126G11D0034,,8/21/2012,8/21/2012,29946,2012
Defense,24619589,24,W911NF09D0001,,11/20/2013,11/20/2013,284500,2014
Defense,2348895,HQ014711C0014,,,10/6/2011,8/29/2012,1060100,2012
Defense,27426284,SPE7M514M6392,,,5/29/2014,5/29/2014,88459.9219,2014
Defense,28001987,DS23,SPM2DV11D9200,,10/15/2013,10/15/2013,75980.5596,2014
Defense,25168723,HDTRA113C0005,,,1/15/2013,1/31/2013,900267,2013
Defense,27844986,64,N4008014D0353,,12/8/2014,12/8/2014,38190,2015
Defense,16595721,FA460810FA068,GS23F0025K,,8/10/2008,8/10/2008,12254437,2008
Defense,25864945,57,N0018911D0009,,9/10/2013,9/10/2013,538591.1875,2013
Defense,3428299,N6134012C0020,,,12/3/2013,12/3/2013,95312,2014
Defense,28457400,4,FA850912G0001,,1/13/2015,1/13/2015,59824,2015
Defense,2166178,HDTRA112C0038,,,8/9/2012,8/9/2012,131664,2012
Defense,26432146,691,W9127810D0043,,10/9/2013,10/9/2013,53133,2014
Defense,1441983,FA942212C0003,,,4/25/2013,4/25/2013,29516.6699,2013
Defense,24882609,1,W912PL10D0074,,2/13/2012,2/13/2012,39900,2012
Defense,25865500,17,N0018912DZ051,,9/30/2013,9/30/2013,184108.4063,2013
Defense,25882381,8,N6247312D4602,,8/6/2013,8/6/2013,19026,2013
Defense,24731767,217,W9127810D0043,,11/11/2011,11/11/2011,52800,2012
Defense,10089555,42,FA860111D0009,,11/7/2011,11/7/2011,42055,2012
Defense,25881184,WE14,N6247012D7004,,5/12/2014,9/8/2014,561265.4494,2014
Defense,22348374,BKC8,SPM50004DBP10,,9/30/2010,9/30/2010,85440,2010
Defense,5168715,SPM7MC11V7872,,,8/3/2011,8/3/2011,27696,2011
Defense,28130808,665,W9124D08D0045,,1/30/2014,1/30/2014,104985,2014
Defense,18172445,39,H9222210D0018,,3/1/2012,3/1/2012,122200,2012
Defense,28081592,D946,SPM2DV11D2004,,4/25/2014,4/25/2014,25720.7201,2014
Defense,28478380,1090,H9225409D0001,,8/7/2014,9/26/2014,201819,2014
Defense,10097336,1,FA865012D2224,,10/10/2013,8/20/2014,782925.1797,2014
Defense,5271390,SPRDL111C0103,,,4/13/2011,4/13/2011,8645789,2011
Defense,26397162,21,N6523612D4132,,10/3/2013,10/3/2013,242276,2014
Defense,27157591,FA945314C0306,,,8/31/2014,8/31/2014,200000,2014
Defense,24732116,616,W9127810D0043,,10/7/2013,10/23/2013,11500,2014
Defense,25555200,W56HZV13C0261,,,1/29/2014,1/29/2014,252198.0469,2014
Defense,21378479,W054,SPM20005D6552,,2/14/2011,2/14/2011,41574.2813,2011
Defense,21333546,AE77,SPM20005D6315,,9/29/2011,9/29/2011,28405.5195,2011
Defense,24733102,1,W9127810D0109,,5/10/2011,5/10/2011,186000,2011
Defense,27336906,SPE7M014VE930,,,7/30/2014,7/30/2014,47211.8516,2014
Defense,4853769,SPM7L312M4982,,,1/28/2011,1/28/2011,97461,2011
Defense,26314609,15,W9126G09D0034,,10/16/2013,5/28/2014,8257253.754,2014
Defense,26380345,W912BU13F0048,GS00F0032M,,10/1/2013,10/1/2013,88920,2014
Defense,26065721,CP03,SPM2DV11D9001,,4/25/2013,4/25/2013,25846.9998,2013
Defense,18800584,FY07,N0017804D4018,,3/26/2013,3/26/2013,40000,2013
Defense,9987577,5014,FA446010D0005,,1/30/2012,7/19/2012,193534.6602,2012
Defense,27850130,5,N4425513D8003,,4/18/2014,4/18/2014,3506954,2014
Defense,24700825,215,W9124D08D0046,,9/21/2011,9/21/2011,88320,2011
Defense,27843545,8,N4002507D7016,,9/8/2014,9/8/2014,90122.0781,2014
Defense,24721512,59,W9126G09D0087,,4/1/2011,4/1/2011,76849.8125,2011
Defense,18833608,8C45,N0018904D0010,,4/4/2011,4/4/2011,70000,2011
Defense,26392350,FC42,N0017804D4119,,10/15/2013,1/24/2014,318999.8203,2014
Defense,20450798,209,SP070099D0301,,10/30/2013,10/30/2013,30022.7207,2014
Defense,27892081,6,N4008510D5331,,10/17/2014,1/2/2015,3474973,2015
Defense,19011804,2005,N4008008D0305,,5/18/2012,5/21/2012,340744,2012
Defense,8064217,W911NF12C0008,,,12/21/2011,12/21/2011,106310,2012
Defense,10093001,61,FA862011G4020,,9/26/2012,9/26/2012,25626.25,2012
Defense,4831856,SPM7L212V1232,,,1/3/2012,1/3/2012,60576,2012
Defense,10026657,R505,FA664308D0003,,9/27/2010,9/27/2010,246995,2010
Defense,22419666,LZT7,SPM50005DBP06,,4/18/2012,4/18/2012,68205.1328,2012
Defense,24581248,1,W58RGZ12D0004,,9/24/2012,9/24/2012,664200,2012
Defense,24681999,7,W9123709D0006,,10/18/2010,10/18/2010,49206.5,2011
Defense,9980010,4008,FA441808D0002,,5/11/2011,5/11/2011,34700,2011
Defense,9993537,50,FA461011D0003,,10/2/2012,10/2/2012,167381,2013
Defense,21379623,Z426,SPM20005D6552,,8/18/2011,8/18/2011,29742.2207,2011
Defense,26168496,PEH1,SPM50005DBP06,,3/12/2013,3/12/2013,187500,2013
Defense,24818821,DW01,W912HN12D0030,,12/31/2012,12/31/2012,858561.6563,2013
Defense,26428681,228,W58RGZ12D0089,,10/1/2013,10/1/2013,797335.625,2014
Defense,27819279,17,N6554013D0008,,10/18/2014,12/6/2014,201003,2015
Defense,3427709,N6133910C0033,,,9/30/2010,9/30/2010,163299,2010
Defense,10099142,19,FA872809D0004,,2/27/2013,2/27/2013,3040926.52,2013
Defense,26353775,N6945013C4157,,,11/7/2013,11/7/2013,37288.75,2014
Defense,28061231,CG98,SPM2DV11D9103,,1/23/2014,1/23/2014,109624.8203,2014
Defense,27795151,84,N0003911D0030,,2/7/2014,2/12/2014,245265.0469,2014
Defense,8266205,W912BU11C0041,,,2/28/2012,2/28/2012,893100.4375,2012
Defense,28081655,DW93,SPM2DV11D2004,,7/28/2014,7/28/2014,81278.5,2014
Defense,25889241,41,N6600112D0036,,10/17/2013,11/27/2013,120399.793,2014
Defense,24777981,1,W912DQ10D3009,,4/5/2011,9/12/2011,4857603,2011
Defense,18851661,2,N0018910DZ042,,10/13/2011,10/13/2011,128972.3984,2012
Defense,28077624,FA53,SPM2DV11D2002,,2/5/2014,2/5/2014,27801,2014
Defense,26301313,17,W56HZV13D0008,,12/3/2012,12/3/2012,1628404,2013
Defense,27251874,SPE4A414VD430,,,5/6/2014,5/6/2014,35413,2014
Defense,27982929,R404,SPM2DV11D2010,,5/13/2014,5/13/2014,27033.3395,2014
Defense,24732313,189,W9127810D0044,,1/10/2013,1/20/2013,368826,2013
Defense,25664769,7,FA865108D0066,,4/25/2013,4/25/2013,100000,2013
Defense,4867684,SPM7L411V2761,,,6/13/2011,6/13/2011,28440,2011
Defense,25663793,201,FA860111D0009,,3/14/2013,3/14/2013,151000,2013
Defense,25655149,4C20,FA300206D0003,,10/23/2012,2/18/2013,24523099.69,2013
Defense,26064042,D527,SPM2DV11D8202,,7/10/2013,7/10/2013,32528.0897,2013
Defense,24583603,11,W74V8H04D0034,,3/28/2013,7/25/2013,189364.3125,2013
Defense,25165917,H9222213C0009,,,4/18/2013,7/8/2013,308700,2013
Defense,24702437,129,W9124D11D0036,,6/19/2012,6/19/2012,45458,2012
Defense,27875758,11,N6523613D4862,,10/13/2014,11/10/2014,204200,2015
Defense,27879711,FX64,SPM2DV11D1008,,7/31/2014,7/31/2014,27400,2014
Defense,28489909,20,N6554013D0008,,9/14/2014,9/14/2014,200100,2014
Defense,8346578,W912HN11C0009,,,10/3/2011,5/14/2012,2612710.6,2012
Defense,26432129,85,W9127810D0042,,10/1/2013,10/1/2013,80000,2014
Defense,25151154,FA810913C0003,,,1/12/2015,1/12/2015,507996,2015
Defense,19207715,18,N6258311D0515,,4/12/2013,5/30/2013,89962.3398,2013
Defense,25224496,N0001913C0004,,,12/19/2014,2/27/2015,236639.4102,2015
Defense,26433624,CK17,W912DY12D0012,,10/3/2013,5/2/2014,4310407.938,2014
Defense,9988035,108,FA447910D0003,,2/8/2013,2/8/2013,43720,2013
Defense,4477785,SPM4A611MKM73,,,5/20/2011,5/20/2011,37152,2011
Defense,26368354,W90FYQ13C0004,,,11/6/2013,11/6/2013,160042.2031,2014
Defense,10127438,17,FA890310D8598,,9/6/2011,9/6/2011,40980.2891,2011
Defense,28485111,67,N0001912G0006,,10/21/2014,10/22/2014,151775.4375,2015
Defense,24619747,102,W911NF11D0001,,3/12/2012,3/12/2012,155380,2012
Defense,2362330,HR001111C0083,,,4/9/2013,4/9/2013,141100,2013
Defense,25665366,RSQU,FA877104D0003,,8/5/2013,8/5/2013,102468,2013
Defense,22348220,BGD8,SPM50004DBP10,,8/31/2010,8/31/2010,52050,2010
Defense,8177334,W9124811P0114,,,8/15/2011,8/15/2011,48863.1016,2011
Defense,9208930,84,DAAH2303D0015,,9/12/2012,9/12/2012,45124,2012
Defense,24732237,109,W9127810D0044,,10/4/2011,12/22/2011,7579331,2012
Defense,24732352,ZW10,W9127810D0044,,5/8/2012,9/10/2012,5104155.875,2012
Defense,4847771,SPM7L311C0139,,,10/11/2010,10/11/2010,723250,2011
Defense,26412379,BQ78,SPM2DV11D9209,,9/13/2013,9/13/2013,40387.2195,2013
Defense,26299310,18,W31P4Q12D0025,,6/5/2013,8/5/2013,224979.8556,2013
Defense,26389380,949,H9225409D0001,,10/31/2013,2/6/2014,115735,2014
Defense,27651152,30,H9222211D0008,,10/17/2014,1/21/2015,455949.5263,2015
Defense,28252327,38,W911S011D0038,,7/10/2014,7/10/2014,276065.1563,2014
Defense,4867225,SPM7L411V1459,,,9/23/2011,9/23/2011,35840,2011
Defense,27344729,SPE7M314C0007,,,10/29/2013,10/29/2013,134408.1563,2014
Defense,4851820,SPM7L312M0232,,,10/15/2011,10/15/2011,152432.5,2012
Defense,9990868,49,FA460006D0003,,11/20/2014,12/30/2014,513721,2015
Defense,8179683,W9124911P0220,,,9/6/2011,9/6/2011,24792.6899,2011
Defense,24733097,2,W9127810D0108,,5/24/2012,5/24/2012,145358.7617,2012
Defense,25878937,29,N4425512D7009,,10/7/2013,10/7/2013,134910,2014
Defense,27509953,W912EK14C0070,,,8/5/2014,8/5/2014,128980,2014
Defense,26311045,3,W911W612D0005,,10/15/2013,2/13/2014,1276003,2014
Defense,28256987,5,W9127814D0030,,9/30/2014,9/30/2014,1503115,2014
Defense,2157509,HC104712P4161,,,4/3/2012,4/3/2012,81091.8281,2012
Defense,26311057,1,W911W613D0007,,8/27/2013,8/27/2013,42000,2013
Defense,9987998,68,FA447910D0003,,9/26/2012,9/26/2012,51523,2012
Defense,24830260,109,W912J709D0001,,8/18/2011,8/18/2011,388889.4375,2011
Defense,3385738,N4008511C3031,,,11/7/2010,11/7/2010,44556.6797,2011
Defense,27972216,E856,SPM2DV11D0200,,12/10/2013,12/10/2013,25910.0995,2014
Defense,24817292,5,W912HN08D0047,,9/27/2010,9/27/2010,123890,2010
Defense,24732238,110,W9127810D0044,,6/29/2011,8/11/2011,1123750,2011
Defense,27099319,N0002414C6294,,,12/20/2013,12/23/2013,2694716.719,2014
Defense,22678229,1896,SPM7LX10D9007,,5/28/2009,5/28/2009,74544.0313,2009
Defense,10104167,QP84,FA877104D0003,,10/18/2012,10/18/2012,273105,2013
Defense,2362441,HR001112C0065,,,4/15/2014,5/23/2014,630000,2014
Defense,4890576,SPM7L612M2353,,,8/17/2012,8/17/2012,43718.7383,2012
Defense,26296782,5,W15P7T10DD415,,8/7/2012,8/7/2012,1213000,2012
Defense,8489856,W912QR11C0018,,,10/4/2011,8/21/2012,955848389.9,2012
Defense,4885840,SPM7L512C0026,,,7/25/2012,7/25/2012,417928,2012
Defense,26302158,92,W58RGZ12D0089,,10/31/2013,10/31/2013,43153,2014
Defense,28456250,30,FA480114D0007,,9/16/2014,9/16/2014,299584.625,2014
Defense,24733695,5,W9127811D0078,,4/8/2013,4/8/2013,58635.4102,2013
Defense,9977832,30,FA441610D0003,,7/13/2011,7/18/2011,116158,2011
Defense,7936855,W31P4Q12C0002,,,10/27/2014,10/27/2014,39545.3789,2015
Defense,21379211,Y293,SPM20005D6552,,7/19/2011,7/19/2011,29436.9492,2011
Defense,27837627,12,N0018913D0016,,1/23/2014,1/23/2014,30297,2014
Defense,19577390,FA860411F7000,NNG07DA49B,,10/6/2009,10/6/2009,40462.3906,2010
Defense,27841722,5052,N0003911D0030,,9/18/2014,9/24/2014,130368.5313,2014
Defense,27751113,991,H9225409D0001,,2/24/2014,9/26/2014,2952959,2014
Defense,26399974,440,SP470107A0001,,3/10/2010,4/1/2010,295204.7187,2010
Defense,24502520,21,W15P7T06DE406,,9/22/2011,9/22/2011,5000000,2011
Defense,28086771,AQ56,SPM2DV11D5002,,11/25/2013,11/25/2013,27399.8498,2014
Defense,21464200,AC81,SPM2DV11D9200,,8/21/2013,8/21/2013,448.21,2013
Defense,19342565,2,N6523611D3855,,1/17/2014,1/17/2014,41332.1992,2014
Defense,26392737,8,N0018912D0032,,10/12/2012,10/12/2012,2000000,2013
Defense,26302092,25,W58RGZ12D0089,,11/21/2012,11/21/2012,280596,2013
Defense,27576772,W911XK14C0014,,,9/23/2014,9/23/2014,59895,2014
Defense,28455733,61,FA252113D0005,,12/4/2014,12/4/2014,68955.8594,2015
Defense,27884243,GT10,N0018913D0021,,11/29/2013,11/29/2013,55062.0508,2014
Defense,28081633,DM74,SPM2DV11D2004,,6/19/2014,6/19/2014,66335.7109,2014
Defense,18406483,3,HQ014710D0024,,12/27/2011,4/16/2012,4252756.051,2012
Defense,10000642,10,FA480309D0010,,4/5/2011,7/28/2011,477175,2011
Defense,24700472,465,W9124D08D0045,,8/10/2011,8/10/2011,30060,2011
Defense,10093002,64,FA862011G4020,,10/16/2013,1/15/2014,344343,2014
Defense,19181705,3,N6247310D0809,,3/15/2011,9/28/2011,471472.5507,2011
Defense,9216482,2294,DABJ0103D0009,,10/19/2011,10/19/2011,76968,2012
Defense,22783262,2,SPRRA111D0128,,5/30/2006,5/30/2006,861255.375,2006
Defense,19062101,34,N4523A07D0006,,5/11/2012,5/11/2012,289131,2012
Defense,28256899,31,W9127809D0099,,8/21/2013,8/21/2013,135000,2013
Defense,10077546,5338,FA850106D0004,,4/4/2011,4/4/2011,444000,2011
Defense,26428671,202,W58RGZ12D0089,,10/21/2013,10/21/2013,818614,2014
Defense,9981084,2006,FA442710D0102,,10/4/2011,10/4/2011,9426,2012
Defense,22417635,HZW6,SPM50005DBP06,,9/21/2010,9/21/2010,43354,2010
Defense,21458566,AH46,SPM2DV11D1008,,9/4/2012,9/12/2012,26795.8201,2012
Defense,2961637,N0001911C0037,,,3/11/2013,6/19/2013,90617.6895,2013
Defense,18946905,2,N0038311D003F,,10/1/2011,10/1/2011,271573626,2012
Defense,26307102,219,W911NF11D0001,,9/30/2013,9/30/2013,176752,2013
Defense,5136316,SPM7M911V3633,,,3/21/2011,3/21/2011,24297.7598,2011
Defense,19207302,43,N6258309D0129,,4/1/2014,4/1/2014,228829.5625,2014
Defense,18199439,8,HC102808D2006,,9/2/2010,9/2/2010,1587137.625,2010
Defense,10102872,5P62,FA877104D0003,,10/19/2012,10/19/2012,192484,2013
Defense,19207287,28,N6258309D0129,,4/13/2011,4/13/2011,517130,2011
Defense,25464718,SPRPA113CZ063,,,10/15/2013,10/15/2013,2882483.75,2014
Defense,21371908,AB79,SPM20005D6552,,11/22/2011,11/22/2011,41078.9805,2012
Defense,26392583,15,N0018910DZ026,,12/13/2010,12/13/2010,223204.7969,2011
Defense,28444800,W912HQ14C0044,,,10/3/2014,11/5/2014,292714,2015
Defense,27655412,23,HC104714D0001,,10/10/2014,10/10/2014,25461,2015
Defense,9970992,E601,FA300208D0016,,7/25/2011,9/2/2011,862655.0625,2011
Defense,18801853,FD09,N0017804D4119,,11/23/2011,9/10/2012,1461548.994,2012
Defense,25878706,1055,N4425505D7100,,2/1/2013,2/1/2013,352924.7813,2013
Defense,25570669,W912BU13C0013,,,10/31/2013,5/31/2014,1735745.801,2014
Defense,27643874,21,FA461014D0002,,9/24/2014,9/24/2014,195010,2014
Defense,27998031,AF33,SPM2DV11D0203,,1/23/2014,1/23/2014,130932.8097,2014
Defense,21378085,V083,SPM20005D6552,,11/15/2010,11/15/2010,26411.0098,2011
Defense,25862445,FK01,N0017805D4500,,1/1/2013,1/1/2013,339326.4063,2013
Defense,8022125,W81XWH11C0065,,,3/15/2011,3/15/2011,44550,2011
Defense,16631222,FA703712F0062,GS23F8006H,,11/12/2013,11/12/2013,206275,2014
Defense,27851082,GT31,N0018913D0023,,9/22/2014,9/22/2014,93657.2188,2014
Defense,10105489,V7BA,FA877104D0003,,10/20/2010,10/25/2010,551279,2011
Defense,27173275,FA810914C0002,,,9/8/2014,9/8/2014,398600,2014
Defense,2966993,N0003012C0056,,,10/8/2013,10/8/2013,95000,2014
Defense,28457626,1412,FA862011G4026,,4/18/2014,5/23/2014,296246.0117,2014
Defense,26409849,D438,SPM2DV11D1008,,9/12/2013,9/12/2013,52871.7992,2013
Defense,2957912,N0001412C0066,,,5/4/2012,5/4/2012,713750,2012
Defense,4996901,SPM7M211MV365,,,8/2/2011,8/2/2011,70796,2011
Defense,60526360,100,N4425513D8008,,9/30/2014,9/30/2014,186280,2014
Defense,24609262,7,W9115U10D0002,,9/24/2010,9/24/2010,296953.1875,2010
Defense,19073397,129,N5523611D0011,,7/31/2012,7/31/2012,56585,2012
Defense,26162982,BXF5,SPM50004DBP10,,9/28/2012,9/28/2012,30968,2012
Defense,18663691,6,N0001911G0001,,6/23/2011,8/12/2011,194037388,2011
Defense,27855582,106,N4425512D7009,,6/4/2014,6/4/2014,36867,2014
Defense,8114723,W911S711C0055,,,11/18/2011,1/1/2012,183657,2012
Defense,1421477,FA865011C1061,,,10/10/2011,10/10/2011,27600,2012
Defense,24798571,DS01,W912DY09D0059,,4/11/2014,6/12/2014,307775,2014
Defense,4829415,SPM7L212M1139,,,11/30/2011,11/30/2011,70689,2012
Defense,26054087,C398,SPM2DV11D5000,,6/11/2013,6/11/2013,30345.7207,2013
Defense,5027706,SPM7M312C0034,,,9/27/2012,9/27/2012,261306,2012
Defense,24777987,2,W912DQ10D3011,,1/8/2013,5/20/2013,9091794.813,2013
Defense,1311056,FA489711M7002,,,2/23/2012,2/23/2012,51275,2012
Defense,26379627,RSR7,FA877104D0003,,9/30/2013,9/30/2013,158090,2013
Defense,26063365,E441,SPM2DV11D8003,,9/3/2013,9/4/2013,81535.1597,2013
Defense,20433350,699,SP070000D3180,,3/27/2014,3/28/2014,1453181.469,2014
Defense,24818820,11,W912HN12D0030,,12/10/2012,12/10/2012,152365,2013
Defense,8024456,W900KK11C0026,,,3/24/2014,3/24/2014,32395.3301,2014
Defense,19058072,2,N4425510D5017,,4/19/2011,5/2/2011,1756105.047,2011
Defense,25221299,M0026413P0276,,,8/16/2013,8/16/2013,99318.3696,2013
Defense,25153015,FA821413C0001,,,10/21/2013,10/29/2013,114108,2014
Defense,25855542,Z529,N0001913D0003,,6/18/2013,6/18/2013,203824.9531,2013
Defense,24794813,14,W912DW11D1002,,10/4/2011,10/5/2011,171909,2012
Defense,27901434,D638,SPM2DV11D7001,,10/22/2013,10/22/2013,43086.03,2014
Defense,28086846,A114,SPM2DV11D5015,,7/18/2014,7/18/2014,201122.25,2014
Defense,21378657,W780,SPM20005D6552,,4/21/2011,4/21/2011,71422.6016,2011
Defense,26366681,W15P7T13C0054,,,10/9/2014,10/16/2014,200097.8203,2015
Defense,26344782,FA865013C5209,,,7/22/2014,7/22/2014,370960,2014
Defense,18701268,6,N0003911D0032,,10/26/2011,10/26/2011,25896,2012
Defense,25664250,1306,FA862011G4025,,6/24/2013,8/14/2013,595133.5,2013
Defense,25185174,HR001113C0001,,,1/30/2013,2/7/2013,2651235,2013
Defense,22418784,KTH8,SPM50005DBP06,,6/23/2011,6/23/2011,25974.0293,2011
Defense,2362240,HR001110C0159,,,10/1/2012,10/1/2012,1385000,2013
Defense,26314889,22,W9127808D0074,,10/21/2013,5/23/2014,3789711.594,2014
Defense,10039857,18,FA703711D0003,,5/9/2012,5/9/2012,59932.8008,2012
Defense,20440805,387,SP070003D1380,,11/2/2010,11/11/2010,2660058,2011
Defense,26303507,1,W58RGZ13D0145,,6/5/2013,6/5/2013,647317.0625,2013
Defense,25888481,14,N6554009D0026,,6/27/2013,9/3/2013,469733.8008,2013
Defense,28037604,AF02,SPM2DV11D0203,,1/23/2014,1/23/2014,46521.3294,2014
Defense,18633356,3,M6785412D5051,,7/27/2012,7/31/2012,195720,2012
Defense,19012295,477,N4008008D0306,,5/31/2011,5/31/2011,48000,2011
Defense,24797688,23,W912DY08D0023,,10/10/2012,10/16/2012,51780107.5,2013
Defense,8569077,W91CRB11C0163,,,6/10/2013,6/10/2013,171536,2013
Defense,7954417,W52P1J10C0058,,,10/18/2012,7/15/2013,985597.3281,2013
Defense,18091518,SP470110FA168,GS35F5192G,,9/30/2010,9/30/2010,168888,2010
Defense,22780507,5128,SPRPA111G001Y,,5/3/2012,5/3/2012,4567839.906,2012
Defense,4296641,SP470512C0020,,,9/30/2012,9/30/2012,509568,2012
Defense,10104005,Q375,FA877104D0003,,8/10/2011,8/10/2011,38713,2011
Defense,18803034,M803,N0017805D4563,,11/21/2012,9/25/2013,5776128.211,2013
Defense,18172750,6,H9222211D0018,,12/12/2010,12/12/2010,51642,2011
Defense,21462765,A906,SPM2DV11D8202,,8/22/2012,8/22/2012,30384.9302,2012
Defense,27981836,E065,SPM2DV11D2004,,8/12/2014,8/12/2014,42343.1992,2014
