numberofoffersreceived	statutoryexceptiontofairopportunity	extentcompeted	tcount	obligatedamount
64	FAIR	D	1	-166597.7031
47		A	24	5678925.9336
31		D	42	6461219.4445
9		A	996	725277735.9077
60	FAIR	A	1	11368.0000
9	FAIR	A	1628	928031552.1061
1	FAIR	A	89034	21389563525.6983
10	MG	A	24	42000.0000
6		A	2998	3796236928.0720
2	CSA	B	4	930373.3125
38	FAIR	A	132	20654596.6569
27	FOO	D	3	334761.5938
126		A	7	1875869.0000
60		F	78	1311647.9561
12	FOO	A	20	-1518495.1562
84		D	8	749972.0000
10		B	4	-855.9500
139		F	4	14700.0000
0		A	2442998	62726715560.4741
1	FOO	E	5	-149670.9317
75		D	11	499974.0000
49	FOO	D	1	1000.0000
40	CSA	A	2	60114.6016
79		A	11	2024942.8975
101		D	8	2772676.7344
3	FAIR	CDO	2	0.0000
51		F	138	2740041.0827
2		F	142570	2683990956.6996
82		G	1	644990.3750
12	OSA	A	4	120264.4511
19	MG	A	3	109022.3789
41	FAIR	A	3	1940176.8750
22		D	197	26866142.6519
49	MG	D	33	29000.0000
17			2	-314559.6583
248		D	5	199614.2773
7	URG	A	2	10882.6405
66		A	1	149345.0000
13		D	506	209526986.9813
59	FAIR	D	1	852977.0000
23	CSA	A	16	1116279.4286
65		A	12	523331.6499
20	CSA	D	114	15039181.3795
60		D	12	298558.1406
10	OSA	F	5	83054.4766
40		D	40	3013832.3339
112		A	7	2662363.2500
156		D	3	-1005.6900
77		D	8	2166291.2969
0	FAIR	D	135	43227878.8561
4	MG	A	30	22955691.0500
1	FOO	G	12	-7188.7109
99	CSA	D	4	1437003.0938
171		F	2	18334.2793
119		D	19	2811517.0079
33		A	64	18741440.1434
3	URG	A	82	5208454.9735
3	CSA	B	2	98674.3896
3		D	8363	3527833123.2542
74		F	106	2054096.5790
9	FAIR	B	1	42492.9609
76		A	29	1423941.9727
137		F	1	4494.0000
999	FAIR	D	16	282637.0469
155		A	1	8661.0000
51		C	29	-25644385.7642
93	FAIR	A	1	4486.8999
22	FOO	A	1	787242.0000
16	CSA	A	33	5048415.1241
6	FOO	D	78	17494527.7430
234		A	4	0.0000
118		F	4	15000.0000
5	FOO	A	307	62485378.8157
28			1	-363294.3438
40		F	329	6954626.3647
3	FOO		2	-532.1200
48	FAIR	A	1	33728.3984
0		B	47369	7394040890.2809
7	FAIR	D	2063	700906226.2590
251		A	1	175990.0000
26	FAIR	D	38	12002785.0082
2	CSA	A	5052	1099643533.4292
139	FAIR	A	10	151673.6617
19	OSA	D	6	234385.3833
322		A	1	-4744.0098
0	FOO	A	74	10051492.6814
63		D	17	2595497.8283
352		F	31	621161.1092
1	OSA	D	2032	371213780.8488
81	CSA	A	1	92486.0000
999		D	270	25156587.9082
130		D	1	-0.0100
45		D	63	2167369.0524
4	FAIR	D	8526	2219435564.5004
15	OSA	D	5	2715292.1523
137		D	1	-0.0700
17	FOO	D	6	109139.0392
18	CSA	D	62	5827677.7758
2	MG	F	3	-259332.5000
103		A	1	100000.0000
257		A	2	0.0000
16	MG	D	10	107852.2200
54		D	4	0.0000
133		D	12	340014.2109
10	OSA	D	12	985435.1831
29	FAIR	D	298	927820914.9659
45	FAIR	A	1	23875.5000
44		A	38	6492771.9577
24		A	110	35369438.6975
17	OSA	A	2	27815.7812
1		CDO	258	29716717.1318
14	CSA	D	82	29359858.9077
244		D	69	3203495.7425
61		A	18	1618903.0196
0	OSA	A	9	158545.4273
28	FAIR	A	250	83867978.9612
128		D	2	-0.0400
140		A	1	0.0000
7		F	29304	412740680.3772
6	CSA	F	9	827061.0000
12	FAIR	D	361	214591023.1826
1	OSA	F	18	1667197.6006
51		D	3	299960.2813
262		F	182	3481536.0540
25	CSA	A	6	239620.8974
150	MG	A	2	0.0000
80	OSA	D	1	20148.0000
158		A	2	623086.8125
9	CSA	D	250	94483677.9029
11	MG	F	9	537097.6400
0	ONE	E	2	-78079.9063
86		F	2	82328.6406
5	FAIR	A	22990	4837870142.7645
15	FAIR	B	2	29343.5000
100		F	4	83995.0000
26	FAIR	F	2	-145849.5000
31			1	-121455.4922
121		A	2	513321.5063
4	FAIR	F	185	9432034.2605
49		F	117	3443033.2904
28		D	85	42352622.8128
10	FAIR	A	1196	395497540.2483
83		F	169	3045899.6270
32	FAIR	D	20	13682979.5163
3	OSA	A	1029	391249611.5924
21	OSA	D	20	1681587.8056
4		F	75233	1288456020.3621
20	FAIR	A	328	107572190.5677
28	FOO	D	1	69243.1875
11	FOO	A	29	5783961.9944
81		F	7	92251.2401
1	SS	A	761	144313597.5928
6	MG	A	23	-345209.9688
44	MG	D	1	10000.0000
58		A	64	37296146.2217
17		D	448	195349471.7455
16	FAIR	A	22689	97397470.6861
42	FAIR	A	2	261868.0962
13	FOO	F	10	-157577.5078
1	FAIR	B	99	9698192.6729
160		F	35	682402.0606
67		A	9	204453.2344
8			1	-0.0400
3			77	-2700295.1274
3		F	152422	2963315379.1893
55	MG	D	1	0.0000
56		A	18	1401778.6953
320		D	2	-17221.0000
239		F	177	16593316.5355
107	FAIR	A	35	239816.1700
96		D	33	3143580.4024
87		D	7	2659474.1877
30	CSA	A	1	71283.0000
8		D	1798	874345725.3487
70		A	50	29618474.3281
1		G	191876	6719906874.9812
99	FAIR	A	7	1054238.5313
77		F	2	48785.8594
72		F	6	329884.2925
32	MG	A	3	-195793.3458
1	OSA	C	11	-26729.7698
5			11	41123.4697
