SubawardReportYear,Customer,SubCustomer,CanadaSector,SubawardAmount,NumberOfContracts
2016,Other Agencies,NATIONAL SCIENCE FOUNDATION,"Other Facilities, Construction, Manufacturing and Testing",1815072.3946,1
2015,DHS,TSA,C4ISR,75301205.1310,19
2011,Other Agencies,SMITHSONIAN INSTITUTION,"Other Facilities, Construction, Manufacturing and Testing",4385349.0000,1
2015,Other Agencies,Education,C4ISR,93964195.6015,22
2016,Defense,Air Force,Other R&D and Knowledge Based,971732387.0597,161
2011,Defense,Air Force,Air,282482638.7565,75
2015,Other Agencies,EPA,C4ISR,91353208.5996,13
2012,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",26500885.4258,274
2014,Defense,Navy,Other Services,14719668.2921,21
2016,Defense,MilitaryHealth,Other Services,5062771.8126,2
2010,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",113182693.3302,42
2015,Other Agencies,VA,C4ISR,713422757.7875,83
2016,Defense,Army,NULL,3761198637.1125,270
2016,State and IAP,MILLENNIUM CHALLENGE CORPORATION,"Other Facilities, Construction, Manufacturing and Testing",87500.0000,1
2012,Defense,DLA,Sea,6580999.9070,75
2016,DHS,FEMA,NULL,27328802.3048,7
2014,Defense,Air Force,Land,3909064.0313,2
2015,Other Agencies,Justice,NULL,4579428.5236,1
2015,Defense,Air Force,Land,24747525.9434,3
2015,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",7900997571.0109,866
2011,HHS,HHS,Other Services,4736067.0000,10
2013,Defense,Other DoD,Land,210038.6563,2
2013,Other Agencies,NUCLEAR REGULATORY COMMISSION,C4ISR,6372176.5000,4
2013,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",631556318.4826,326
2013,Defense,Army,C4ISR,1959998529.7007,326
2014,NASA,NASA,Air,43000.0000,1
2012,DHS,Other DHS,Land,874838.2500,1
2016,State and IAP,State,Other Services,2870151.3750,2
2011,Energy,Energy,Other R&D and Knowledge Based,2027631.3984,3
2014,State and IAP,USAID,C4ISR,123730720.2563,34
2015,Defense,MilitaryHealth,C4ISR,185010399.2656,8
2012,DHS,FEMA,C4ISR,4324794.3047,3
2011,DHS,FEMA,Other R&D and Knowledge Based,121511766.1722,28
2012,Defense,Navy,Land,119079885.1040,15
2008,Defense,Navy,Sea,1331625.0000,1
2015,Defense,Navy,Sea,841790599.8673,172
2013,Defense,Other DoD,Space,981553.0000,2
2016,DHS,ICE,NULL,993884.6250,1
2013,Other Agencies,FEDERAL TRADE COMMISSION,Other Services,533600.0000,1
2014,DHS,COAST GUARD,C4ISR,51964320.9996,22
2012,Other Agencies,Transportation,NULL,484854.0000,1
2011,Defense,Air Force,Sea,41075.0000,1
2016,Defense,Army,"Weapons, Ammunition and Missiles",488636222.8968,38
2016,DHS,COAST GUARD,C4ISR,9116251.2758,11
2011,State and IAP,State,"Other Facilities, Construction, Manufacturing and Testing",60249125.8438,2
2014,Defense,Air Force,Air,1734377021.5839,211
2012,Other Agencies,Agriculture,Other Services,939344.9864,6
2010,Defense,Navy,Sea,722156.2189,3
2011,Other Agencies,Archives,"Other Facilities, Construction, Manufacturing and Testing",1612360.0000,3
2014,Other Agencies,Transportation,Other R&D and Knowledge Based,167732909.5445,93
2013,NASA,NASA,"Other Facilities, Construction, Manufacturing and Testing",42996104.6427,10
2015,Defense,Other DoD,Space,800911.0000,2
2014,Defense,Navy,Space,242099625.4275,10
2010,Other Agencies,Interior,C4ISR,112821.0000,2
2011,Other Agencies,COURT SERVICES AND OFFENDER SUPERVISION AGENCY,C4ISR,0.0000,1
2012,NASA,NASA,C4ISR,105957820.9627,38
2011,DHS,FEMA,"Other Facilities, Construction, Manufacturing and Testing",14185557.0000,1
2016,Other Agencies,Commerce,C4ISR,26219456.1175,8
2011,Other Agencies,VA,NULL,22749324.0000,3
2010,Defense,DLA,Air,165062.0781,2
2013,Other Agencies,Education,Other R&D and Knowledge Based,56674613.0392,38
2012,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",2665825.7073,34
2011,Defense,DLA,Land,54567831.1240,220
2014,State and IAP,State,Other Services,17926549.1563,3
2014,Defense,MilitaryHealth,Other R&D and Knowledge Based,12058290.5508,5
2015,State and IAP,USAID,"Other Facilities, Construction, Manufacturing and Testing",4604880.0736,4
2012,Other Agencies,Transportation,Other R&D and Knowledge Based,113278416.9419,53
2013,Defense,MilitaryHealth,C4ISR,2691707.0626,2
2012,Other Agencies,VA,Other Products,2636588.7490,9
2016,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,C4ISR,81960810.0000,2
2014,Other Agencies,Commerce,Other Products,1760332.7500,1
2012,Defense,Army,"Weapons, Ammunition and Missiles",62271062.6128,30
2015,NASA,NASA,Other R&D and Knowledge Based,315838719.3474,28
2016,Other Agencies,Interior,NULL,29319560.4064,16
2011,Other Agencies,Treasury,NULL,297651.4844,2
2011,HHS,HHS,"Other Facilities, Construction, Manufacturing and Testing",2728243.7735,21
2014,State and IAP,USAID,Other R&D and Knowledge Based,1529681222.0494,89
2015,Defense,DLA,C4ISR,404350686.3211,261
2013,Other Agencies,Justice,"Other Facilities, Construction, Manufacturing and Testing",89396.0000,2
2013,Defense,Navy,Space,103047841.8609,11
2014,Defense,Navy,Sea,686162287.9142,134
2013,Other Agencies,SMALL BUSINESS ADMINISTRATION,C4ISR,74813.4707,3
2014,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,NULL,291308.8438,1
2015,Energy,Energy,NULL,151877.7032,1
2012,Defense,Air Force,Other Services,11384981.4262,13
2015,Defense,Navy,Air,2205155639.0765,201
2016,Defense,MDA,C4ISR,41917112.3740,3
2016,Other Agencies,VA,Other R&D and Knowledge Based,4483158.8458,9
2010,DHS,OPO,C4ISR,911278.0000,4
2014,Other Agencies,NATIONAL TRANSPORTATION SAFETY BOARD,C4ISR,303365.0000,1
2013,Other Agencies,Agriculture,Other Services,5961237.6955,4
2012,Energy,Energy,Other Products,550000.0000,1
2015,Other Agencies,VA,Other R&D and Knowledge Based,40264470.1372,26
2014,State and IAP,State,"Other Facilities, Construction, Manufacturing and Testing",223706811.0429,21
2016,Other Agencies,Education,NULL,224134.0000,1
2014,Defense,Army,Other Services,70318447.6848,15
2012,DHS,COAST GUARD,Land,70427.7989,2
2016,DHS,FEMA,C4ISR,21000000.0000,2
2014,Defense,Navy,Land,35496434.7309,5
2013,State and IAP,State,"Other Facilities, Construction, Manufacturing and Testing",7947859.0000,8
2013,Other Agencies,Comptroller,Other R&D and Knowledge Based,247500.0000,2
2012,DHS,Other DHS,"Other Facilities, Construction, Manufacturing and Testing",13860287.1425,28
2012,Defense,Other DoD,Other R&D and Knowledge Based,935672910.9154,173
2013,Other Agencies,Agriculture,C4ISR,3045916.6093,15
2011,DHS,COAST GUARD,Land,130456.3204,2
2016,State and IAP,USAID,"Other Facilities, Construction, Manufacturing and Testing",5552235.4534,4
2015,Defense,Army,Other Services,76337600.0833,17
2012,Other Agencies,Interior,Other Products,695446.8516,1
2012,Other Agencies,Transportation,C4ISR,4085652.1484,9
2014,Defense,Air Force,"Weapons, Ammunition and Missiles",452795126.5170,59
2014,Other Agencies,Education,Other R&D and Knowledge Based,49701511.6507,41
2010,NASA,NASA,C4ISR,8337889.9687,1
2014,Other Agencies,Archives,Other R&D and Knowledge Based,148372.0000,2
2012,DHS,CBP,Other R&D and Knowledge Based,1559624.8828,3
2012,Other Agencies,Treasury,Other R&D and Knowledge Based,32584533.2001,10
2013,Defense,Other DoD,Other Services,340699909.1426,142
2016,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",173828904.0955,169
2012,Other Agencies,NUCLEAR REGULATORY COMMISSION,Other R&D and Knowledge Based,389888.0000,1
2012,Defense,Other DoD,Other Services,21378002.4055,51
2016,Defense,Army,C4ISR,3550276294.7278,170
2013,State and IAP,State,Other Services,24059834.0000,2
2016,Other Agencies,NUCLEAR REGULATORY COMMISSION,C4ISR,2134838.4844,2
2013,Other Agencies,Treasury,Other R&D and Knowledge Based,21254830.1875,7
2014,Other Agencies,VA,Other Products,208673.7777,3
2012,Other Agencies,VA,Land,35716.0391,1
2016,Other Agencies,Justice,"Other Facilities, Construction, Manufacturing and Testing",3679480.0000,1
2010,Other Agencies,Agriculture,Other R&D and Knowledge Based,438200.0000,1
2014,Other Agencies,Commerce,Other R&D and Knowledge Based,13241639.2500,26
2012,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,C4ISR,6401204.5000,4
2014,Defense,DLA,Other R&D and Knowledge Based,21146477.5673,9
2016,DHS,CBP,NULL,6539499.0822,3
2010,State and IAP,USAID,Other R&D and Knowledge Based,3021888.0000,3
2014,Defense,Army,Other R&D and Knowledge Based,1250770941.5349,380
2013,Other Agencies,VA,"Other Facilities, Construction, Manufacturing and Testing",453068890.7242,112
2016,Defense,Other DoD,Other R&D and Knowledge Based,419896658.7539,128
2013,Other Agencies,NATIONAL SCIENCE FOUNDATION,C4ISR,9637499.0000,2
2009,DHS,OPO,C4ISR,2242609.2500,3
2013,DHS,OPO,"Other Facilities, Construction, Manufacturing and Testing",249114.0000,1
2014,DHS,Other DHS,C4ISR,16636779.8788,8
2015,State and IAP,State,Sea,1454296.0000,1
2012,Defense,Army,Other Services,2277281.9942,9
2016,DHS,CBP,Other R&D and Knowledge Based,462224.0000,1
2015,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,Other Services,10952564.0000,1
2011,Defense,Navy,NULL,59103372.7188,6
2011,Other Agencies,VA,"Other Facilities, Construction, Manufacturing and Testing",243089392.6828,90
2011,Defense,Army,Other Products,97718137.4884,22
2015,Defense,Navy,Other R&D and Knowledge Based,1232294357.6197,285
2012,Other Agencies,NULL,"Other Facilities, Construction, Manufacturing and Testing",15254430.9492,9
2012,Defense,Army,NULL,34048120.7500,5
2012,Other Agencies,FEDERAL TRADE COMMISSION,C4ISR,230623.7461,2
2014,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",4420039.3359,42
2013,Energy,Energy,"Other Facilities, Construction, Manufacturing and Testing",258545491.7257,4
2010,Other Agencies,EPA,"Other Facilities, Construction, Manufacturing and Testing",1878874.9902,4
2010,Other Agencies,Agriculture,"Other Facilities, Construction, Manufacturing and Testing",4500.0000,1
2012,HHS,HHS,Other Products,547100.0000,2
2013,Other Agencies,HUD,C4ISR,6035328.0000,2
2015,DHS,OPO,NULL,1185594.6172,4
2014,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",10685877212.1769,984
2013,Defense,DLA,Other Products,253146188.6495,2103
2014,Other Agencies,EPA,Other R&D and Knowledge Based,10815134.3028,47
2011,Other Agencies,Transportation,C4ISR,16095109.0000,10
2015,Energy,Energy,C4ISR,4828219.8556,10
2013,Other Agencies,Transportation,Air,15352362.3600,1
2015,Defense,Army,Space,4496879.4844,1
2014,Other Agencies,NULL,"Other Facilities, Construction, Manufacturing and Testing",48453733.0764,20
2014,Defense,Navy,Other Products,6704950.4143,16
2011,HHS,HHS,NULL,1062276.2617,1
2015,DHS,Other DHS,NULL,159880.4844,1
2015,State and IAP,USAID,Other Services,24889228.0411,3
2016,NULL,NULL,Other Services,157529.4062,1
2013,Other Agencies,All other Customers,Other R&D and Knowledge Based,1205064.8925,3
2004,Defense,Army,C4ISR,3728000.0000,1
2015,Defense,MDA,"Weapons, Ammunition and Missiles",1740269426.9761,21
2014,Defense,DLA,Sea,10452421.9478,117
2012,Defense,Navy,C4ISR,572007109.6780,524
2014,Other Agencies,Labor,Other R&D and Knowledge Based,26236856.4102,17
2014,State and IAP,PEACE CORPS,C4ISR,935805.1875,1
2013,Other Agencies,Labor,C4ISR,5737671.6862,6
2010,Defense,Navy,C4ISR,278608804.5745,45
2015,Other Agencies,COMMODITY FUTURES TRADING COMMISSION,C4ISR,132864652.0000,5
2014,Defense,MilitaryHealth,Other Services,559684510.4609,1
2011,Defense,DLA,Other Products,9007053.6136,124
2013,Other Agencies,Agriculture,"Other Facilities, Construction, Manufacturing and Testing",2173602.0665,9
2011,DHS,ICE,Other Services,138379.3125,1
2013,Defense,Air Force,Other Services,25497878.7482,23
2010,Other Agencies,Transportation,Other R&D and Knowledge Based,400000.0000,1
2014,Defense,DLA,C4ISR,401796384.2920,370
2014,Other Agencies,Justice,"Other Facilities, Construction, Manufacturing and Testing",1209619.0000,2
2014,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,Other R&D and Knowledge Based,1140233.0470,5
2014,Other Agencies,Interior,Other Products,821915.8672,1
2016,Other Agencies,Agriculture,C4ISR,45119930.0137,9
2011,NASA,NASA,Space,15986851.6748,25
2016,Defense,Air Force,Space,42645504.1652,7
2007,Defense,Air Force,Other R&D and Knowledge Based,16740326.0000,2
2013,Other Agencies,Transportation,C4ISR,62313169.7881,27
2015,Other Agencies,VA,NULL,21430270.4765,9
2015,Defense,Other DoD,Other Services,169106129.0629,119
2014,Defense,Other DoD,Other Services,114832915.6135,110
2016,State and IAP,State,"Other Facilities, Construction, Manufacturing and Testing",655864365.2109,5
2016,Other Agencies,Interior,Other R&D and Knowledge Based,8563431.5078,18
2012,DHS,Other DHS,"Weapons, Ammunition and Missiles",41763.7500,1
2016,Other Agencies,VA,NULL,27912481.4488,29
2016,HHS,HHS,Other R&D and Knowledge Based,414451906.0183,237
2013,NASA,NASA,NULL,7055486.1133,1
2013,Defense,Other DoD,Other R&D and Knowledge Based,1212860530.1524,198
2013,Defense,Navy,Sea,2226701949.3746,175
2012,Defense,Navy,Sea,119860850.0373,93
2015,Other Agencies,Transportation,"Other Facilities, Construction, Manufacturing and Testing",53714406.7789,37
2006,Defense,Navy,C4ISR,153390483.5313,4
2015,Defense,Navy,Other Products,3693815.1497,12
2015,Defense,Air Force,"Weapons, Ammunition and Missiles",630785132.6182,59
2013,Other Agencies,VA,Other Products,14032168.1194,121
2015,DHS,ICE,"Other Facilities, Construction, Manufacturing and Testing",517730.0000,1
2011,NASA,NASA,C4ISR,69831953.5143,46
2015,Energy,Energy,Other R&D and Knowledge Based,48149790.9249,27
2013,Other Agencies,All other Customers,"Other Facilities, Construction, Manufacturing and Testing",3086961.4142,14
2010,Other Agencies,SMALL BUSINESS ADMINISTRATION,C4ISR,44661.0000,1
2012,Other Agencies,Justice,C4ISR,74677862.9183,78
2013,State and IAP,USAID,Other R&D and Knowledge Based,395219057.2305,66
2015,Defense,MDA,Space,720000.0000,1
2015,Other Agencies,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,C4ISR,83825.7891,1
2011,Other Agencies,SMALL BUSINESS ADMINISTRATION,C4ISR,72142.1992,2
2012,State and IAP,USAID,Other R&D and Knowledge Based,370593858.5667,49
2014,Other Agencies,All other Customers,"Other Facilities, Construction, Manufacturing and Testing",6774175.1399,18
2011,Other Agencies,Justice,C4ISR,22147642.3212,85
2016,Other Agencies,All other Customers,C4ISR,105583845.4870,11
2015,State and IAP,State,"Other Facilities, Construction, Manufacturing and Testing",287272522.8202,38
2015,GSA,GSA,NULL,222327.0000,2
2012,DHS,FEMA,Other Services,157423.4289,1
2012,Energy,Energy,Land,56070.0000,1
2016,GSA,GSA,NULL,5069597259.6104,67
2011,State and IAP,USAID,Other Products,27440606.7500,2
2011,State and IAP,USAID,NULL,446976.0000,1
2009,Defense,Navy,C4ISR,12890811.7500,4
2013,Other Agencies,All other Customers,C4ISR,178005547.0999,31
2016,Defense,Navy,Land,42763746.6331,4
2012,Other Agencies,Commerce,NULL,99445.0000,1
2012,Defense,Other DoD,Land,2600124103.0000,2
2016,Defense,Air Force,C4ISR,665496291.1492,171
2015,State and IAP,USAID,C4ISR,32076296.6524,32
2012,GSA,GSA,Other R&D and Knowledge Based,216708297.0371,41
2014,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",11537389503.1210,628
2016,Defense,Navy,"Weapons, Ammunition and Missiles",1727842865.2886,54
2013,DHS,Other DHS,C4ISR,190958240.1467,6
2015,Defense,Army,Sea,699175.0000,4
2010,DHS,FEMA,Other R&D and Knowledge Based,3064682.9219,2
2013,Defense,Air Force,Air,1836119016.5507,216
2015,Defense,DLA,Sea,6961572.1426,80
2014,Other Agencies,NATIONAL SCIENCE FOUNDATION,C4ISR,433322.0000,3
2015,Defense,Army,Other R&D and Knowledge Based,630562456.4173,383
2013,State and IAP,State,C4ISR,190700739.7487,90
2010,HHS,HHS,Other Services,494283.0000,1
2015,Other Agencies,Justice,Other Products,33016.5000,1
2014,Defense,Other DoD,Air,929357297.5448,38
2014,Other Agencies,Transportation,Air,481492.8482,1
2014,Defense,Navy,Other R&D and Knowledge Based,595391987.0530,258
2011,DHS,COAST GUARD,"Other Facilities, Construction, Manufacturing and Testing",15049080.6290,9
2012,Defense,Navy,NULL,20084041.0977,5
2014,NASA,NASA,"Other Facilities, Construction, Manufacturing and Testing",115896292.8616,14
2012,DHS,TSA,Other R&D and Knowledge Based,887253.6094,2
2015,DHS,COAST GUARD,C4ISR,9293962.1445,32
2010,DHS,FEMA,Other Services,194578.0000,1
2016,Other Agencies,Transportation,"Other Facilities, Construction, Manufacturing and Testing",6091999.3233,14
2015,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",7045029.0254,16
2012,GSA,GSA,Other Services,28025848.1074,15
2014,State and IAP,USAID,Other Services,8747898.5939,3
2015,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",16468933614.5805,813
2011,Other Agencies,Agriculture,"Other Facilities, Construction, Manufacturing and Testing",2708848.6406,20
2013,Other Agencies,NULL,"Other Facilities, Construction, Manufacturing and Testing",159717887.9156,24
2015,DHS,CBP,Other R&D and Knowledge Based,3400769.8594,6
2012,Defense,MilitaryHealth,C4ISR,8064982.8125,6
2015,Defense,MilitaryHealth,Other R&D and Knowledge Based,13368842.4141,7
2013,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,Other R&D and Knowledge Based,1357373.0000,2
2012,Other Agencies,Commerce,Other Services,392000.4648,4
2011,Other Agencies,Transportation,Other R&D and Knowledge Based,15903966.3008,27
2011,Other Agencies,EPA,Other R&D and Knowledge Based,3036764.8731,11
2012,Defense,DLA,Land,46924779.7883,266
2015,Other Agencies,NATIONAL SCIENCE FOUNDATION,"Other Facilities, Construction, Manufacturing and Testing",1495279.5039,1
2013,Defense,DLA,"Weapons, Ammunition and Missiles",6703976.1642,34
2012,Defense,Army,Land,334306116.9714,41
2014,Other Agencies,BROADCASTING BOARD OF GOVERNORS,Other R&D and Knowledge Based,12759484.0000,1
2013,NASA,NASA,Space,115496242.3168,60
2012,HHS,HHS,NULL,648471.3125,1
2013,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",3526096.2500,4
2015,Other Agencies,Interior,NULL,3269800.0000,2
2014,Defense,Army,Space,1423859.8438,1
2016,NASA,NASA,Other R&D and Knowledge Based,303104583.2429,17
2014,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,Other R&D and Knowledge Based,2626709.5000,1
2014,Other Agencies,All other Customers,Other R&D and Knowledge Based,3716918.4785,5
2014,Other Agencies,NATIONAL LABOR RELATIONS BOARD,C4ISR,36585.0000,1
2013,GSA,GSA,"Other Facilities, Construction, Manufacturing and Testing",40269296.1253,69
2016,Energy,Energy,"Other Facilities, Construction, Manufacturing and Testing",264127618.4630,11
2013,Defense,Other DoD,Other Products,89900.0000,1
2011,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",39588353.1986,464
2011,Other Agencies,NATIONAL SCIENCE FOUNDATION,Other R&D and Knowledge Based,1046875.0313,5
2012,Other Agencies,VA,Other Services,164250.0000,1
2012,Energy,Energy,C4ISR,2755220.5938,9
2016,DHS,FEMA,Other Products,472927.6016,1
2012,Defense,Army,Air,315236604.5458,59
2012,DHS,OPO,Other R&D and Knowledge Based,22808715.6275,21
2011,Defense,DLA,Sea,4415389.3301,48
2008,Defense,Navy,Other R&D and Knowledge Based,143638345.0000,9
2015,Defense,Air Force,NULL,248952212.6407,55
2012,Other Agencies,Interior,Other Services,113977.0000,1
2013,Other Agencies,NULL,C4ISR,375744.5000,1
2015,GSA,GSA,"Other Facilities, Construction, Manufacturing and Testing",61195783.9910,97
2011,Other Agencies,Labor,Other R&D and Knowledge Based,1047197.8809,3
2014,Other Agencies,VA,Other Services,1023767.1406,5
2012,Defense,Air Force,Air,1103342892.1452,170
2013,NASA,NASA,Other Services,7205927.3984,9
2016,Defense,DLA,Other Products,17842889.3708,245
2010,DHS,FEMA,C4ISR,65393.0000,1
2012,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,C4ISR,493778.0000,1
2012,Other Agencies,SMITHSONIAN INSTITUTION,"Other Facilities, Construction, Manufacturing and Testing",16969966.0000,1
2013,Other Agencies,EPA,"Other Facilities, Construction, Manufacturing and Testing",40732892.9335,63
2012,DHS,COAST GUARD,"Other Facilities, Construction, Manufacturing and Testing",5236448.3282,7
2016,Other Agencies,EPA,C4ISR,5350337.5626,4
2012,Defense,DLA,Air,16642904.6722,91
2014,GSA,GSA,C4ISR,1861378534.0656,76
2015,Other Agencies,Justice,Other R&D and Knowledge Based,39176417.6310,22
2011,State and IAP,State,NULL,209144.5743,1
2015,DHS,FEMA,Other R&D and Knowledge Based,8727509.0793,10
2013,Defense,Air Force,NULL,151458.0000,2
2011,State and IAP,USAID,"Other Facilities, Construction, Manufacturing and Testing",125007803.9631,2
2010,Defense,MDA,"Weapons, Ammunition and Missiles",46603.0000,1
2016,NASA,NASA,C4ISR,799121748.7385,12
2012,Defense,Air Force,Other Products,7497925.4648,17
2011,Defense,Air Force,Land,185254.3594,2
2011,Other Agencies,Treasury,C4ISR,88957485.8638,39
2013,Other Agencies,HUD,Other R&D and Knowledge Based,10634460.4143,7
2013,Defense,Army,Sea,7399401.0844,6
2013,Other Agencies,Archives,C4ISR,1568837.0000,1
2010,Defense,Navy,Other R&D and Knowledge Based,150805219.5978,32
2015,Other Agencies,Treasury,"Other Facilities, Construction, Manufacturing and Testing",6601860.6406,2
2014,Other Agencies,Transportation,Land,57000.0000,1
2012,Defense,MilitaryHealth,Other R&D and Knowledge Based,3967046.9922,3
2013,Other Agencies,Commerce,"Other Facilities, Construction, Manufacturing and Testing",907308.7239,7
2012,DHS,Other DHS,Other R&D and Knowledge Based,10427286.1641,1
2011,Other Agencies,Commerce,"Other Facilities, Construction, Manufacturing and Testing",2519950.2500,3
2013,Defense,Other DoD,Sea,5161694.2089,7
2014,Defense,DLA,Air,228810458.5864,367
2010,Defense,Air Force,Air,23370740.3086,10
2014,Other Agencies,Labor,C4ISR,102683343.0163,11
2010,Other Agencies,Commerce,C4ISR,66550145.0000,2
2015,Other Agencies,Justice,C4ISR,494543750.8679,67
2011,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",484222.3008,4
2014,DHS,CBP,C4ISR,27581742.3487,5
2012,Other Agencies,All other Customers,Other R&D and Knowledge Based,2318927.7910,9
2013,Defense,Army,Other R&D and Knowledge Based,894616872.7625,315
2013,Other Agencies,Transportation,Other R&D and Knowledge Based,96017121.6802,80
2014,Other Agencies,VA,"Other Facilities, Construction, Manufacturing and Testing",4159167054.2149,92
2014,Defense,MilitaryHealth,C4ISR,109719595.4747,12
2011,Other Agencies,NULL,"Other Facilities, Construction, Manufacturing and Testing",6197760.1368,4
2012,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,Other R&D and Knowledge Based,1785266.0000,2
2015,State and IAP,State,Other Services,8565539.1016,4
2012,Energy,Energy,Other R&D and Knowledge Based,6501310.8281,4
2015,DHS,CBP,NULL,486419.5312,1
2010,Defense,Air Force,Other R&D and Knowledge Based,23707552.3125,11
2016,Other Agencies,Justice,NULL,1830432.1992,7
2012,State and IAP,State,"Other Facilities, Construction, Manufacturing and Testing",438353.3514,24
2013,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",11790443.8048,73
2012,Other Agencies,Interior,"Other Facilities, Construction, Manufacturing and Testing",36920737.6837,14
2011,Defense,Army,Air,72954676.9415,16
2014,State and IAP,State,Other R&D and Knowledge Based,35708101.7042,14
2011,Other Agencies,Labor,"Other Facilities, Construction, Manufacturing and Testing",13685745.0000,5
2011,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,Other R&D and Knowledge Based,284009.0000,1
2016,DHS,OPO,NULL,11030649.2812,22
2012,Energy,Energy,"Other Facilities, Construction, Manufacturing and Testing",245650744.6224,8
2011,Other Agencies,EPA,"Other Facilities, Construction, Manufacturing and Testing",15699742.2735,27
2012,Other Agencies,Agriculture,C4ISR,2309525.0743,12
2012,Other Agencies,Education,Other R&D and Knowledge Based,17706352.5997,19
2011,Other Agencies,FEDERAL TRADE COMMISSION,C4ISR,197512.7969,1
2012,Other Agencies,VA,NULL,91250.0000,1
2011,DHS,FEMA,Other Products,338784.5625,1
2012,GSA,GSA,"Other Facilities, Construction, Manufacturing and Testing",215455313.5273,58
2016,Other Agencies,Education,C4ISR,32191087.9227,17
2013,Defense,Army,Other Services,16781263.6291,9
2013,DHS,COAST GUARD,C4ISR,12087565.3535,15
2012,DHS,TSA,NULL,54624.9805,1
2015,DHS,Other DHS,C4ISR,31207933.5706,32
2012,Other Agencies,COURT SERVICES AND OFFENDER SUPERVISION AGENCY,C4ISR,103792.1094,1
2014,State and IAP,USAID,"Other Facilities, Construction, Manufacturing and Testing",4778154.4336,4
2012,Defense,Army,Other Products,9606242.2111,18
2015,DHS,FEMA,C4ISR,14282825.7971,12
2012,DHS,FEMA,"Other Facilities, Construction, Manufacturing and Testing",7594247.0898,4
2012,Defense,MDA,"Weapons, Ammunition and Missiles",740529794.4992,10
2013,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",7853944054.7606,1027
2011,Other Agencies,Treasury,Other R&D and Knowledge Based,9112560.1955,7
2010,Defense,Army,Land,6435368.5000,4
2012,Defense,DLA,Other Products,9988980.2090,164
2015,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,C4ISR,418482029.5938,7
2011,Other Agencies,Agriculture,Other Services,645801.0799,7
2012,Defense,Navy,Other R&D and Knowledge Based,561395350.1798,199
2010,Defense,Navy,Other Products,70414.0000,1
2016,Defense,Navy,C4ISR,3081263130.5137,396
2011,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,Other R&D and Knowledge Based,465098.0000,2
2013,Defense,Other DoD,"Weapons, Ammunition and Missiles",12566768.1333,4
2011,Other Agencies,Interior,Other Services,60000.0000,1
2015,GSA,GSA,Other Services,51184875.1211,9
2016,Defense,MDA,NULL,87087992.4768,9
2011,DHS,FEMA,C4ISR,932873.8672,5
2015,Defense,Air Force,Other Products,5718224.6250,2
2013,Defense,DLA,Air,178694400.3917,314
2013,Other Agencies,VA,Other Services,5718780.0079,94
2012,Other Agencies,NATIONAL SCIENCE FOUNDATION,Other R&D and Knowledge Based,1168831.0000,2
2012,Other Agencies,NULL,C4ISR,151287.4219,1
2016,GSA,GSA,"Other Facilities, Construction, Manufacturing and Testing",188372465.0470,25
2016,Defense,DLA,NULL,305690920.2432,876
2011,Defense,Other DoD,"Weapons, Ammunition and Missiles",913909.0000,1
2014,Other Agencies,Commerce,"Other Facilities, Construction, Manufacturing and Testing",680662.0713,6
2015,Other Agencies,Agriculture,Other R&D and Knowledge Based,6744052.6328,14
2013,DHS,OPO,Other R&D and Knowledge Based,38368847.7618,37
2016,Other Agencies,FEDERAL TRADE COMMISSION,C4ISR,272497.2812,1
2012,Other Agencies,Justice,Land,43573303.0000,6
2016,Defense,DLA,Land,384902.9220,3
2011,Energy,Energy,C4ISR,683432.9922,6
2012,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",4445136399.3104,1117
2013,Defense,Other DoD,NULL,18510906.2500,2
2011,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,C4ISR,975263.6211,3
2013,Defense,Army,Space,492388.3594,1
