"","Fiscal.Year","Customer","SubCustomer","SubCustomer.component","SubCustomer.sum","SubCustomer.detail","PlatformPortfolio","PlatformPortfolio.sum","ProductServiceOrRnDarea","ServicesCategory.sum","ProductOrServiceCode","ProductOrServiceCodeText","Obligation.2014"
"86",2009-01-01,"Defense","Army","Army","Army","Army","Aircraft and Drones","Aircraft and Drones","Aircraft","Products (All)","5821","RADIO & TV EQ AIRBORNE",0.000530940885473046
"87",2000-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","ERS","Services (Non-R&D)","J066","MAINT-REP OF INSTRUMENTS & LAB EQ",0.000112574687669745
"88",2005-01-01,"Defense","Navy","Navy","Navy","Navy","Other Products","Other","Other","Products (All)","9999","MISCELLANEOUS ITEMS",0.00095601716124419
"89",2008-01-01,"Defense","Army","Army","Army","Army","Other R&D and Knowledge Based","Other","PAMS","Services (Non-R&D)","R799","OTHER MANAGEMENT SUPPORT SERVICES",0.00269609544468547
"90",2008-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","PAMS","Services (Non-R&D)","C123","ELECTRIC POWER GENERATION (EPG)",4.46343383947939e-05
"91",2011-01-01,"Defense","Army","Army","Army","Army","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5962","MICROCIRCUITS, ELECTRONIC",8.96439257238775e-05
"92",2009-01-01,"Defense","Navy","Navy","Navy","Navy","Aircraft and Drones","Aircraft and Drones","Aircraft","Products (All)","1550","DRONES",0.000682195280363715
"93",2005-01-01,"Defense","DLA","DLA","Other DoD","DLA","Other Products","Other","Other","Products (All)","5306","BOLTS",0.000132259563818377
"94",2008-01-01,"Defense","DLA","DLA","Other DoD","DLA","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","2590","MISCELLANEOUS VEHICULAR COMPONENTS",0.0386412169197397
"95",2006-01-01,"Defense","DLA","DLA","Other DoD","DLA","Aircraft and Drones","Aircraft and Drones","Engines & Power Plants","Products (All)","2840","GAS TURBINES & JET ENGINES AIRCRAFT",0.0100530702764977
"96",2012-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","Other","Products (All)","7110","OFFICE FURNITURE",0.000890733220059726
"97",2007-01-01,"Defense","Navy","Navy","Navy","Navy","Other Services","Other","ERS","Services (Non-R&D)","V119","OTHER CARGO AND FREIGHT SERVICES",0.00551298375799753
"98",2012-01-01,"Defense","DLA","DLA","Other DoD","DLA","Other Products","Other","Other","Products (All)","3110","BEARINGS, ANTIFRICTION, UNMOUNTED",0.00302104798681907
"99",2009-01-01,"Defense","DLA","DLA","Other DoD","DLA","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","4910","MOTOR VEHICLE MAINT EQ",9.7258064516129e-05
"100",2008-01-01,"Defense","DLA","DLA","Other DoD","DLA","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","6150","MISC ELECTRIC POWER & DISTRIB EQ",0.00108323969631236
"101",2008-01-01,"Defense","DLA","DLA","Other DoD","DLA","Other Products","Other","Clothing & Subsistence","Products (All)","8470","ARMOR, PERSONAL",0.00210456073752712
"102",2012-01-01,"Defense","DLA","DLA","Other DoD","DLA","Other Products","Other","Other","Products (All)","4720","HOSE AND FLEXIBLE TUBING",0.00127488168056843
"103",2010-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","Other","Products (All)","4210","FIRE FIGHTING EQUIPMENT",6.51939559264014e-05
"104",2007-01-01,"Defense","Army","Army","Army","Army","Other R&D and Knowledge Based","Other","PAMS","Services (Non-R&D)","R425","ENGINEERING AND TECHNICAL SERVICES",0.0198108701088787
"105",2006-01-01,"Defense","Navy","Navy","Navy","Navy","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5925","CIRCUIT BREAKERS",9.5471198156682e-05
"106",2005-01-01,"Defense","Navy","Navy","Navy","Navy","Other Products","Other","Other","Products (All)","9535","PLATE SHEET STRIP-NONFERROUS METAL",4.46764390418305e-05
"107",2010-01-01,"Defense","Other DoD","Additional DoD Components","Other DoD","Other DoD","Other R&D and Knowledge Based","Other","Advanced Technology Development (6.3)","R&D","AA13","R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (ADVANCED DEVELOPMENT)",0
"108",2008-01-01,"Defense","Navy","Navy","Navy","Navy","Other Products","Other","Other","Products (All)","8010","PAINT,DOPE,VARNISH & RELATED PROD",1.1520010845987e-05
"109",2008-01-01,"Defense","Navy","Navy","Navy","Navy","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5962","MICROCIRCUITS, ELECTRONIC",1.62689804772234e-07
"110",2007-01-01,"Defense","Navy","Navy","Navy","Navy","Facilities and Construction","Facilities and Construction","Other","Products (All)","4120","AIR CONDITIONING EQUIPMENT",0.000221763385340667
"111",2012-01-01,"Defense","DLA","DLA","Other DoD","DLA","Facilities and Construction","Facilities and Construction","Other","Products (All)","7125","CABINETS LOCKERS BINS & SHELVING",1.38375038616002e-05
"112",2012-01-01,"Defense","DLA","DLA","Other DoD","DLA","Aircraft and Drones","Aircraft and Drones","Aircraft","Products (All)","1620","AIRCRAFT LANDING GEAR COMPONENTS",0.013814990896921
