fiscal_year,Customer,SubCustomer,CanadaSector,IsSubcontractReportingContract,obligatedAmount,numberOfActions,NumberOfContracts
2002,Defense,Other DoD,Sea,0,33357380.0000,59,57
2002,DHS,FEMA,NULL,0,0.0000,1,1
2002,DHS,FEMA,Other R&D and Knowledge Based,0,84290000.0000,415,256
2002,Energy,Energy,"Weapons, Ammunition and Missiles",0,12630455.0400,39,23
2001,Other Agencies,Commerce,Other R&D and Knowledge Based,0,323689946.6200,1955,1742
2001,Other Agencies,Commerce,Other Services,0,27910380.4600,269,279
2001,Other Agencies,COMMODITY FUTURES TRADING COMMISSION,NULL,0,0.0000,2,1
2001,Other Agencies,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,C4ISR,0,1512000.0000,6,5
2001,Other Agencies,EPA,Other R&D and Knowledge Based,0,389899894.5400,2847,1286
2001,Other Agencies,Exec Office,NULL,0,0.0000,1,1
2001,Other Agencies,Exec Office,Other Products,0,138000.0000,1,1
2001,Other Agencies,FEDERAL TRADE COMMISSION,Other R&D and Knowledge Based,0,5432000.0000,66,52
2001,Other Agencies,INTERNATIONAL TRADE COMMISSION,Other R&D and Knowledge Based,0,820000.0000,13,7
2001,Other Agencies,Labor,Other R&D and Knowledge Based,0,328456348.5600,844,437
2001,Other Agencies,NATIONAL ENDOWMENT FOR THE ARTS,"Other Facilities, Construction, Manufacturing and Testing",0,194000.0000,2,2
2001,Other Agencies,NATIONAL MEDIATION BOARD,Other R&D and Knowledge Based,0,2283000.0000,188,188
2001,Other Agencies,NATIONAL SCIENCE FOUNDATION,NULL,0,0.0000,1,1
2001,Other Agencies,NUCLEAR REGULATORY COMMISSION,C4ISR,0,50880380.0000,394,264
2001,Other Agencies,NUCLEAR REGULATORY COMMISSION,Other Services,0,2022000.0000,14,9
2001,Other Agencies,SELECTIVE SERVICE SYSTEM,C4ISR,0,522000.0000,7,4
2001,Other Agencies,SMITHSONIAN INSTITUTION,C4ISR,0,4976792.6400,53,42
2001,Other Agencies,SMITHSONIAN INSTITUTION,Other Services,0,8154116.3300,37,39
2001,Other Agencies,Transportation,Other Products,0,47590799.1200,658,647
2001,Other Agencies,Transportation,Sea,0,260650000.0000,1096,588
2001,Other Agencies,Treasury,Other Services,0,60354183.9900,1077,729
2001,Other Agencies,VA,Other R&D and Knowledge Based,0,132618784.2400,1062,1120
2001,State and IAP,PEACE CORPS,C4ISR,0,19495523.0000,52,32
2001,State and IAP,State,Air,0,105837000.0000,33,24
2001,State and IAP,USAID,C4ISR,0,300167050.8900,354,305
2001,State and IAP,USAID,"Other Facilities, Construction, Manufacturing and Testing",0,25266000.0000,97,98
2001,State and IAP,USAID,Space,0,69000.0000,1,2
2002,Defense,Air Force,Air,0,20743987998.4800,12551,8708
2002,Defense,Air Force,Land,0,230653784.8100,759,627
2002,Defense,Air Force,Sea,0,17192618.0000,78,50
2002,Defense,Army,"Weapons, Ammunition and Missiles",0,6917973037.3800,5846,3089
2002,Defense,DLA,"Weapons, Ammunition and Missiles",0,56141175.0000,672,738
2002,Defense,MDA,Other Products,0,2940.0000,1,1
2002,Defense,Navy,Other Products,0,274403646.4100,2651,2567
2002,Defense,Other DoD,C4ISR,0,4072361672.7600,14087,11609
2002,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",0,1198328701.8000,2223,1700
2002,Defense,Other DoD,"Weapons, Ammunition and Missiles",0,125761104.0000,44,47
2002,DHS,CBP,C4ISR,0,0.0000,NULL,1
2002,DHS,FEMA,C4ISR,0,110507000.0000,384,208
2002,DHS,Other DHS,Other R&D and Knowledge Based,0,32959.0000,5,3
2002,GSA,GSA,Other R&D and Knowledge Based,0,1476780226.3500,2780,2572
2002,NASA,NASA,Other R&D and Knowledge Based,0,531061078.9400,1893,947
2001,Other Agencies,FEDERAL ELECTION COMMISSION,NULL,0,0.0000,1,1
2001,Other Agencies,Justice,Air,0,97436000.0000,216,175
2001,Other Agencies,Justice,Land,0,20766577.1200,236,198
2001,Other Agencies,Justice,Sea,0,1094000.0000,10,9
2001,Other Agencies,NATIONAL LABOR RELATIONS BOARD,Other R&D and Knowledge Based,0,1328000.0000,32,32
2001,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,Other Products,0,9677000.0000,57,72
2001,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,Other R&D and Knowledge Based,0,1563096.4000,29,29
2001,Other Agencies,Transportation,Air,0,111105000.0000,1419,930
2001,Other Agencies,Transportation,"Weapons, Ammunition and Missiles",0,669000.0000,6,8
2001,Other Agencies,Treasury,C4ISR,0,1784814180.8300,6212,4776
2001,State and IAP,NULL,"Other Facilities, Construction, Manufacturing and Testing",0,3203000.0000,28,28
2001,State and IAP,PEACE CORPS,Other Services,0,1391000.0000,10,9
2001,State and IAP,State,"Weapons, Ammunition and Missiles",0,3411000.0000,32,37
2001,State and IAP,USAID,Other Services,0,29407000.0000,55,52
2002,NULL,NULL,Other R&D and Knowledge Based,0,0.0000,NULL,3
2002,Defense,NULL,"Other Facilities, Construction, Manufacturing and Testing",0,0.0000,NULL,2
2002,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",0,12939860958.5600,73137,54009
2002,Defense,Army,Sea,0,132645427.0000,781,588
2002,Defense,Army,Space,0,60693282.0000,19,15
2002,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",0,802298209.4000,5759,5694
2002,Defense,DLA,Sea,0,105216668.0000,1467,1603
2002,Defense,MDA,"Weapons, Ammunition and Missiles",0,148268.0000,1,1
2002,Defense,MilitaryHealth,Other R&D and Knowledge Based,0,4063051.0000,17,13
2002,Defense,Navy,Other R&D and Knowledge Based,0,4129544894.7400,17226,11588
2002,Defense,Other DoD,Air,0,111995640.0000,214,191
2002,DHS,COAST GUARD,C4ISR,0,111775690.1000,13,14
2002,DHS,COAST GUARD,Other Services,0,230568.0200,18,15
2002,DHS,FEMA,Air,0,1958000.0000,4,1
2002,DHS,FEMA,"Other Facilities, Construction, Manufacturing and Testing",0,103499710.0000,731,558
2002,HHS,HHS,Other R&D and Knowledge Based,0,3078720421.0700,8731,6621
2002,Other Agencies,Agriculture,"Weapons, Ammunition and Missiles",0,1603310.0000,14,13
2002,Other Agencies,All other Customers,Sea,0,18000.0000,1,1
2002,Other Agencies,Archives,C4ISR,0,26734626.6300,98,78
2002,Other Agencies,BROADCASTING BOARD OF GOVERNORS,Other R&D and Knowledge Based,0,5012000.0000,88,68
2002,Other Agencies,BROADCASTING BOARD OF GOVERNORS,Other Services,0,3313000.0000,28,18
2002,Other Agencies,CONSUMER PRODUCT SAFETY COMMISSION,Other R&D and Knowledge Based,0,3283000.0000,81,52
2002,Other Agencies,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,"Other Facilities, Construction, Manufacturing and Testing",0,2747804.8800,2,2
2002,Other Agencies,Exec Office,NULL,0,0.0000,1,1
2002,Other Agencies,FEDERAL ELECTION COMMISSION,Other R&D and Knowledge Based,0,382000.0000,5,6
2002,Other Agencies,FEDERAL MARITIME COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",0,28000.0000,1,1
2001,Other Agencies,Treasury,"Other Facilities, Construction, Manufacturing and Testing",0,386836474.3400,1957,1579
2001,Other Agencies,Treasury,Other R&D and Knowledge Based,0,443717943.9100,7656,4627
2001,Other Agencies,VA,Other Products,0,2177200747.0600,3663,4358
2001,State and IAP,PEACE CORPS,"Other Facilities, Construction, Manufacturing and Testing",0,2706000.0000,46,39
2001,State and IAP,PEACE CORPS,Other R&D and Knowledge Based,0,10084541.0000,91,78
2001,State and IAP,State,C4ISR,0,442381757.4600,2706,2340
2001,State and IAP,State,Space,0,106000.0000,3,3
2001,State and IAP,USAID,"Weapons, Ammunition and Missiles",0,680000.0000,1,1
2002,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",0,4063635745.5400,20251,16945
2002,Defense,Army,C4ISR,0,8717789739.8400,38841,29081
2002,Defense,Army,Other Products,0,838505464.8600,8994,7741
2002,Defense,DLA,C4ISR,0,930334244.5000,9879,10779
2002,Defense,DLA,Other Products,0,9416769912.0000,36097,36794
2002,Defense,Navy,Air,0,8927623192.8400,7461,5854
2002,DHS,FEMA,Other Services,0,2119000.0000,20,17
2002,Energy,Energy,NULL,0,5111254.0000,32,29
2002,Energy,Energy,"Other Facilities, Construction, Manufacturing and Testing",0,21087999220.7000,1823,769
2002,Energy,Energy,Other R&D and Knowledge Based,0,2116327771.8600,2342,1120
2002,Energy,Energy,Other Services,0,30386561.1100,330,242
2002,GSA,GSA,NULL,0,12034673.6600,228,162
2002,GSA,GSA,Other Services,0,122394979.0500,422,326
2002,HHS,HHS,Air,0,69095000.0000,4,4
2002,Other Agencies,NULL,Other Products,0,1112024074.0000,20650,1881
2002,Other Agencies,Agriculture,Land,0,7035738.0000,158,139
2002,Other Agencies,All other Customers,NULL,0,10396412.1900,28,17
2002,Other Agencies,All other Customers,"Other Facilities, Construction, Manufacturing and Testing",0,121398609.7700,1043,824
2002,Other Agencies,Commerce,Air,0,741000.0000,29,35
2002,Other Agencies,Commerce,C4ISR,0,931321076.5600,3356,2793
2002,Other Agencies,Commerce,Land,0,1042808.0000,18,18
2002,Other Agencies,Commerce,Space,0,5147000.0000,28,24
2002,Other Agencies,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND O,Other R&D and Knowledge Based,0,1050848.0000,2,2
2002,Other Agencies,COMMODITY FUTURES TRADING COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",0,1893687.9600,21,14
2002,Other Agencies,CONSUMER PRODUCT SAFETY COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",0,138000.0000,7,11
2002,Other Agencies,Education,NULL,0,0.0000,6,1
2002,Other Agencies,Education,Other R&D and Knowledge Based,0,533130755.5400,554,276
2002,Other Agencies,Education,Other Services,0,538000.0000,5,4
2002,Other Agencies,EPA,Air,0,2574373.0000,66,23
2002,Other Agencies,EPA,C4ISR,0,329131531.7100,1739,715
2002,Other Agencies,EPA,Land,0,3125.4300,7,3
2002,Other Agencies,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,C4ISR,0,2036000.0000,32,30
2002,Other Agencies,Exec Office,C4ISR,0,44042000.0000,247,164
2002,Other Agencies,Exec Office,Land,0,50000.0000,2,1
2002,Other Agencies,FEDERAL MARITIME COMMISSION,C4ISR,0,601000.0000,15,9
2001,Other Agencies,VA,Other Services,0,623606278.3600,11165,12543
2001,State and IAP,NULL,NULL,0,0.0000,1,1
2001,State and IAP,State,NULL,0,18824420.1700,93,75
2002,Defense,NULL,Other Products,0,0.0000,NULL,2
2002,Defense,Army,NULL,0,10243237.5000,114,77
2002,Defense,Army,Air,0,5331313998.1200,3724,2664
2002,Defense,DLA,NULL,0,31899301.0000,406,407
2002,Defense,DLA,Air,0,1747079627.0000,16084,17712
2002,Defense,MDA,C4ISR,0,36306229.6500,145,64
2002,Defense,Other DoD,Other Services,0,254347483.9100,625,128
2002,DHS,FEMA,Other Products,0,863000.0000,8,9
2002,DHS,FEMA,Sea,0,1436000.0000,8,8
2002,DHS,Other DHS,"Other Facilities, Construction, Manufacturing and Testing",0,9802.0000,1,1
2002,DHS,TSA,C4ISR,0,264828366.0000,12,1
2002,Energy,Energy,Other Products,0,29585099.0000,150,116
2002,Energy,Energy,Space,0,25820000.0000,23,9
2002,GSA,GSA,C4ISR,0,6956066760.1016,25120,16916
2002,GSA,GSA,Land,0,880478928.0000,10805,10339
2002,GSA,GSA,Space,0,0.0000,NULL,1
2002,HHS,HHS,Other Products,0,427643723.7400,637,725
2002,NASA,NASA,Other Products,0,57844398.0700,374,212
2002,NASA,NASA,Sea,0,71000.0000,5,3
2002,Other Agencies,NULL,Other R&D and Knowledge Based,0,3013753.0000,12,11
2002,Other Agencies,NULL,Other Services,0,56379.0000,1,2
2002,Other Agencies,Agriculture,Other Services,0,575866895.2900,3126,3145
2002,Other Agencies,All other Customers,Other Products,0,6037000.0000,54,48
2002,Other Agencies,Commerce,"Other Facilities, Construction, Manufacturing and Testing",0,265785742.2000,1582,1616
2002,Other Agencies,Commerce,"Weapons, Ammunition and Missiles",0,-276000.0000,3,3
2002,Other Agencies,CONSUMER PRODUCT SAFETY COMMISSION,Other Products,0,31000.0000,3,3
2002,Other Agencies,COURT SERVICES AND OFFENDER SUPERVISION AGENCY,Other Services,0,87000.0000,1,2
2002,Other Agencies,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,Other R&D and Knowledge Based,0,1477087.0000,2,2
2002,Other Agencies,Education,Other Products,0,23920254.0000,11,6
2002,Other Agencies,EPA,NULL,0,1733978.7100,102,77
2002,Other Agencies,EPA,"Other Facilities, Construction, Manufacturing and Testing",0,329678028.0300,2368,1372
2002,Other Agencies,FEDERAL MARITIME COMMISSION,Other R&D and Knowledge Based,0,101000.0000,5,3
2002,Other Agencies,FEDERAL TRADE COMMISSION,C4ISR,0,6569000.0000,38,34
2002,Other Agencies,HUD,Other Services,0,4221687.0000,44,39
2002,Other Agencies,Interior,Other Products,0,41628915.7800,557,529
2002,Other Agencies,Interior,Space,0,130000.0000,1,1
2002,Other Agencies,INTERNATIONAL TRADE COMMISSION,C4ISR,0,3399000.0000,23,12
2002,Other Agencies,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,C4ISR,0,159000.0000,3,3
2002,Other Agencies,Justice,"Other Facilities, Construction, Manufacturing and Testing",0,1425526807.8200,12276,11536
2002,Other Agencies,Justice,Other R&D and Knowledge Based,0,849290547.7800,8001,6640
2002,Other Agencies,Justice,Sea,0,535000.0000,8,8
2002,Other Agencies,Labor,"Other Facilities, Construction, Manufacturing and Testing",0,1086714433.8400,1309,534
2001,Other Agencies,SMITHSONIAN INSTITUTION,Other R&D and Knowledge Based,0,62687640.0000,85,77
2001,Other Agencies,Transportation,Other R&D and Knowledge Based,0,302941746.1800,2175,1543
2001,Other Agencies,Transportation,Other Services,0,193257175.0000,530,390
2001,Other Agencies,Treasury,Air,0,91171000.0000,26,17
2001,Other Agencies,VA,"Other Facilities, Construction, Manufacturing and Testing",0,826976235.0700,5687,5914
2001,Other Agencies,VA,Sea,0,1729000.0000,16,16
2001,State and IAP,PEACE CORPS,Other Products,0,378000.0000,4,3
2001,State and IAP,State,Other R&D and Knowledge Based,0,442245074.8700,1867,1485
2001,State and IAP,State,Other Services,0,35708160.5400,369,376
2001,State and IAP,USAID,Land,0,1178000.0000,24,38
2002,Defense,Army,Other R&D and Knowledge Based,0,4531575888.7600,20876,13441
2002,Defense,DLA,Other R&D and Knowledge Based,0,367418340.0000,1340,736
2002,Defense,MDA,Other R&D and Knowledge Based,0,2341136560.0000,349,157
2002,Defense,MDA,Other Services,0,143615.2000,1,1
2002,Defense,MilitaryHealth,C4ISR,0,52070.0000,8,6
2002,Defense,MilitaryHealth,Other Services,0,4180571837.0000,352,21
2002,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",0,5849959263.0000,58653,44719
2002,Defense,Navy,Sea,0,12640047818.9300,17648,9334
2002,Defense,Other DoD,Land,0,23786318.0000,95,88
2002,Defense,Other DoD,Other R&D and Knowledge Based,0,1084093276.0600,2379,1650
2002,DHS,COAST GUARD,Air,0,625554.0900,4,6
2002,DHS,COAST GUARD,Other Products,0,0.0000,NULL,2
2002,Energy,Energy,Air,0,13518690.0000,38,26
2002,GSA,GSA,"Weapons, Ammunition and Missiles",0,1845000.0000,21,28
2002,HHS,HHS,"Other Facilities, Construction, Manufacturing and Testing",0,1334750868.5600,3983,3302
2002,HHS,HHS,Sea,0,112000.0000,3,2
2002,NASA,NASA,"Other Facilities, Construction, Manufacturing and Testing",0,2375291122.3500,2198,1196
2002,NASA,NASA,"Weapons, Ammunition and Missiles",0,2750612.0000,25,13
2002,Other Agencies,NULL,"Other Facilities, Construction, Manufacturing and Testing",0,167305176.0000,1055,553
2002,Other Agencies,Archives,NULL,0,432235.0000,4,2
2002,Other Agencies,BROADCASTING BOARD OF GOVERNORS,NULL,0,0.0000,1,2
2002,Other Agencies,Commerce,NULL,0,6912731.2200,39,39
2002,Other Agencies,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND O,C4ISR,0,792565.0000,2,2
2002,Other Agencies,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,"Other Facilities, Construction, Manufacturing and Testing",0,42000.0000,1,1
2002,Other Agencies,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,Other R&D and Knowledge Based,0,30591118.0000,224,182
2002,Other Agencies,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,Other Services,0,179000.0000,5,3
2002,Other Agencies,Exec Office,"Weapons, Ammunition and Missiles",0,1255000.0000,4,4
2002,Other Agencies,FEDERAL TRADE COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",0,806000.0000,7,6
2002,Other Agencies,HUD,"Other Facilities, Construction, Manufacturing and Testing",0,96235218.5200,409,298
2002,Other Agencies,Interior,Air,0,103340012.1300,546,547
2002,Other Agencies,NATIONAL ENDOWMENT FOR THE ARTS,Other R&D and Knowledge Based,0,322000.0000,3,3
2001,Other Agencies,Treasury,Land,0,13602000.0000,77,70
2001,Other Agencies,Treasury,Sea,0,454000.0000,6,6
2001,Other Agencies,VA,"Weapons, Ammunition and Missiles",0,200000.0000,1,1
2001,State and IAP,PEACE CORPS,NULL,0,0.0000,6,5
2001,State and IAP,PEACE CORPS,Land,0,180000.0000,4,4
2001,State and IAP,USAID,Other Products,0,246385000.0000,246,203
2002,Defense,Air Force,C4ISR,0,9546743116.2800,19314,13641
2002,Defense,Air Force,Other Services,0,419327518.0000,1560,1200
2002,Defense,Navy,Space,0,92235244.0000,120,49
2002,Defense,Navy,"Weapons, Ammunition and Missiles",0,3308698102.2000,2904,1605
2002,DHS,COAST GUARD,NULL,0,112136354.1700,148,132
2002,Energy,Energy,Sea,0,310093279.0000,48,13
2002,GSA,GSA,Sea,0,728993.0000,12,34
2002,HHS,HHS,"Weapons, Ammunition and Missiles",0,16000.0000,1,1
2002,NASA,NASA,Air,0,78876118.1400,187,99
2002,NASA,NASA,C4ISR,0,1219431187.3100,2415,1546
2002,NASA,NASA,Space,0,2747674964.2900,2992,1634
2002,Other Agencies,Agriculture,Other R&D and Knowledge Based,0,123442949.5100,1262,1105
2002,Other Agencies,All other Customers,Other R&D and Knowledge Based,0,86611980.0600,688,596
2002,Other Agencies,Archives,Other Products,0,2278000.0000,8,8
2002,Other Agencies,BROADCASTING BOARD OF GOVERNORS,Other Products,0,607000.0000,8,5
2002,Other Agencies,Commerce,Other Products,0,44893235.0000,120,146
2002,Other Agencies,Commerce,Sea,0,32773320.0000,291,271
2002,Other Agencies,COMMODITY FUTURES TRADING COMMISSION,C4ISR,0,468000.0000,5,5
2002,Other Agencies,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,Other R&D and Knowledge Based,0,55306.2400,5,4
2002,Other Agencies,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,C4ISR,0,73000.0000,1,1
2002,Other Agencies,EPA,Other Products,0,1856325.4400,8,8
2002,Other Agencies,EPA,Sea,0,1717000.0000,4,1
2002,Other Agencies,Exec Office,"Other Facilities, Construction, Manufacturing and Testing",0,3497000.0000,25,23
2002,Other Agencies,FEDERAL ELECTION COMMISSION,C4ISR,0,1557000.0000,12,12
2002,Other Agencies,HUD,C4ISR,0,265972660.6000,490,244
2002,Other Agencies,Interior,Land,0,7735225.4400,184,180
2002,Other Agencies,Interior,Sea,0,22072538.9200,150,127
2002,Other Agencies,INTERNATIONAL TRADE COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",0,1271000.0000,23,15
2002,Other Agencies,Justice,C4ISR,0,1451659898.1700,7234,5841
2002,Other Agencies,Justice,Other Services,0,238676168.5600,1603,1584
2002,Other Agencies,Library,Other R&D and Knowledge Based,0,0.0000,NULL,4
2002,Other Agencies,NATIONAL GALLERY OF ART,Other Products,0,64000.0000,1,1
2002,Other Agencies,NATIONAL LABOR RELATIONS BOARD,"Other Facilities, Construction, Manufacturing and Testing",0,489000.0000,6,6
2002,Other Agencies,NATIONAL SCIENCE FOUNDATION,C4ISR,0,22505193.0000,151,122
2002,Other Agencies,NATIONAL SCIENCE FOUNDATION,Other Services,0,6775000.0000,5,4
2002,Other Agencies,NUCLEAR REGULATORY COMMISSION,Other Products,0,2958020.0000,24,18
2002,Other Agencies,RAILROAD RETIREMENT BOARD,"Other Facilities, Construction, Manufacturing and Testing",0,2098308.0000,26,17
2002,DHS,COAST GUARD,Sea,0,113355614.0000,3,5
2002,DHS,FEMA,Land,0,1526000.0000,4,4
2002,Energy,Energy,C4ISR,0,373680629.9900,2281,1143
2002,Energy,Energy,Land,0,1000115.0000,18,16
2002,GSA,GSA,Other Products,0,91041224.3700,1459,1672
2002,HHS,HHS,C4ISR,0,1454644410.9400,3341,2820
2002,HHS,HHS,Land,0,3885000.0000,26,25
2002,NASA,NASA,Land,0,1301729.0000,29,21
2002,Other Agencies,NULL,NULL,0,7440.0000,1,1
2002,Other Agencies,Agriculture,NULL,0,70000.0000,97,91
2002,Other Agencies,Agriculture,"Other Facilities, Construction, Manufacturing and Testing",0,522245358.3500,6223,5164
2002,Other Agencies,All other Customers,C4ISR,0,333186928.0000,900,675
2002,Other Agencies,All other Customers,Land,0,14000.0000,1,1
2002,Other Agencies,BROADCASTING BOARD OF GOVERNORS,C4ISR,0,73258002.6200,457,343
2002,Other Agencies,Commerce,Other R&D and Knowledge Based,0,273967577.9800,1822,1652
2002,Other Agencies,CONSUMER PRODUCT SAFETY COMMISSION,C4ISR,0,2293000.0000,31,19
2002,Other Agencies,CONSUMER PRODUCT SAFETY COMMISSION,Land,0,28000.0000,1,1
2002,Other Agencies,Education,C4ISR,0,356632124.3500,477,205
2002,Other Agencies,EPA,Other R&D and Knowledge Based,0,327495126.7200,2975,1354
2002,Other Agencies,EPA,Other Services,0,55065198.0000,475,272
2002,Other Agencies,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",0,1884000.0000,24,23
2002,Other Agencies,HUD,NULL,0,24380158.0000,83,58
2002,Other Agencies,INTERNATIONAL TRADE COMMISSION,Other Products,0,226000.0000,4,4
2002,Other Agencies,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,Other Products,0,147000.0000,5,5
2002,Other Agencies,Justice,"Weapons, Ammunition and Missiles",0,15933929.0000,246,264
2002,Other Agencies,NATIONAL TRANSPORTATION SAFETY BOARD,"Other Facilities, Construction, Manufacturing and Testing",0,339112.0000,4,4
2002,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,C4ISR,0,11551000.0000,25,25
2002,Other Agencies,SMALL BUSINESS ADMINISTRATION,Other Products,0,182000.0000,1,1
2002,Other Agencies,Transportation,Other R&D and Knowledge Based,0,1092026951.2200,2425,1651
2002,Other Agencies,Treasury,"Weapons, Ammunition and Missiles",0,12787000.0000,519,510
2002,Other Agencies,VA,Other Products,0,1946067049.5600,3921,4692
2002,State and IAP,NULL,C4ISR,0,26000.0000,1,1
2002,State and IAP,PEACE CORPS,"Other Facilities, Construction, Manufacturing and Testing",0,555632.0000,10,9
2002,State and IAP,PEACE CORPS,Other R&D and Knowledge Based,0,11230347.0000,84,64
2002,State and IAP,USAID,Other R&D and Knowledge Based,0,1496533685.7300,1943,1172
2003,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",0,5921946921.5600,26072,21944
2003,Defense,Air Force,Other R&D and Knowledge Based,0,3814706398.4700,6535,4122
2003,Defense,Air Force,Sea,0,141155784.0000,135,74
2003,Defense,Army,C4ISR,0,11088677726.2045,53429,41230
2003,Defense,Army,Land,0,8534910629.5000,11950,10057
2003,Defense,DLA,C4ISR,0,1091052725.3400,11467,13279
2003,Defense,DLA,Land,0,1867194518.0000,5176,5789
2003,Defense,MDA,Other R&D and Knowledge Based,0,372589473.7900,412,222
2002,GSA,GSA,Air,0,953627.2400,9,13
2002,GSA,GSA,"Other Facilities, Construction, Manufacturing and Testing",0,9715827451.1400,40870,38748
2002,HHS,HHS,NULL,0,254714109.5900,878,626
2002,HHS,HHS,Other Services,0,401430282.5900,1815,1372
2002,NASA,NASA,NULL,0,9551747.3200,176,134
2002,NASA,NASA,Other Services,0,199062150.5500,297,105
2002,Other Agencies,NULL,C4ISR,0,457077.0000,5,4
2002,Other Agencies,NULL,Land,0,109230.0000,2,2
2002,Other Agencies,Agriculture,C4ISR,0,486363750.6800,4931,4689
2002,Other Agencies,Agriculture,Other Products,0,2043630791.0000,3361,3353
2002,Other Agencies,Agriculture,Space,0,16000.0000,1,1
2002,Other Agencies,All other Customers,Other Services,0,22886270.0000,1499,1268
2002,Other Agencies,Archives,"Other Facilities, Construction, Manufacturing and Testing",0,67532262.0400,173,97
2002,Other Agencies,Archives,Other R&D and Knowledge Based,0,7862466.9500,31,24
2002,Other Agencies,BROADCASTING BOARD OF GOVERNORS,"Other Facilities, Construction, Manufacturing and Testing",0,4541000.0000,79,57
2002,Other Agencies,CONSUMER PRODUCT SAFETY COMMISSION,NULL,0,0.0000,NULL,1
2002,Other Agencies,Education,"Other Facilities, Construction, Manufacturing and Testing",0,6637828.0000,32,12
2002,Other Agencies,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,Other Products,0,40000.0000,1,1
2002,Other Agencies,FEDERAL TRADE COMMISSION,Other Services,0,378000.0000,5,4
2002,Other Agencies,HUD,Land,0,39035.0000,5,1
2002,Other Agencies,HUD,Other R&D and Knowledge Based,0,541766910.7400,1633,1195
2002,Other Agencies,Interior,"Weapons, Ammunition and Missiles",0,488000.0000,7,9
2002,Other Agencies,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,"Other Facilities, Construction, Manufacturing and Testing",0,4049273.6600,39,33
2002,Other Agencies,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,Other R&D and Knowledge Based,0,161000.0000,4,6
2002,Other Agencies,NATIONAL ENDOWMENT FOR THE HUMANITIES,"Other Facilities, Construction, Manufacturing and Testing",0,52000.0000,1,1
2002,Other Agencies,NATIONAL GALLERY OF ART,"Other Facilities, Construction, Manufacturing and Testing",0,7309000.0000,29,20
2002,Other Agencies,NATIONAL LABOR RELATIONS BOARD,Other Products,0,7000.0000,2,2
2002,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,Other Products,0,309000.0000,7,7
2002,Other Agencies,SMALL BUSINESS ADMINISTRATION,Other R&D and Knowledge Based,0,10324667.4800,70,65
2002,Other Agencies,Transportation,Air,0,64389379.0000,1387,892
2002,Other Agencies,Transportation,C4ISR,0,1044680194.8600,3132,2299
2002,Other Agencies,Transportation,Space,0,394000.0000,1,1
2002,State and IAP,NULL,NULL,0,0.0000,6,6
2002,State and IAP,NULL,Other R&D and Knowledge Based,0,186000.0000,5,5
2003,Defense,Army,Air,0,6781157296.8500,7333,5756
2003,Defense,Army,Other Services,0,4861927017.3825,14652,10390
2003,Defense,DLA,Other Services,0,53439100.5800,85,68
2003,Defense,MDA,C4ISR,0,60875457.1138,148,61
2003,Defense,MDA,Space,0,31401005.0000,10,4
2003,Defense,Navy,Other Products,0,479723377.9900,4649,4336
2003,Defense,Other DoD,NULL,0,310453.0000,15,14
2002,Other Agencies,Agriculture,Air,0,29994662.4900,232,236
2002,Other Agencies,Agriculture,Sea,0,1934010.0000,25,20
2002,Other Agencies,All other Customers,"Weapons, Ammunition and Missiles",0,26000.0000,1,1
2002,Other Agencies,Archives,Other Services,0,33000.0000,1,1
2002,Other Agencies,Commerce,Other Services,0,33695910.1600,248,233
2002,Other Agencies,COMMODITY FUTURES TRADING COMMISSION,Other R&D and Knowledge Based,0,352000.0000,8,8
