"Fiscal Year","Contracting Agency ID","Product or Service Code","Dollars Obligated"
"2019","1205","1620","$7,800.00"
"2019","1205","2310","($2,124.42)"
"2019","1205","3610","$1,940,263.80"
"2019","1205","3960","$658,220.00"
"2019","1205","3990","$0.00"
"2019","1205","4510","$1,257,184.23"
"2019","1205","4910","$72,528.16"
"2019","1205","5340","$3,616,393.76"
"2019","1205","5805","($75,616.49)"
"2019","1205","5820","$23,565.00"
"2019","1205","5821","$23,485.82"
"2019","1205","5995","$76,133.09"
"2019","1205","5999","$231,629.52"
"2019","1205","6015","$39,805.28"
"2019","1205","6150","$29,939.00"
"2019","1205","6160","($0.31)"
"2019","1205","6350","$7,671.81"
"2019","1205","6675","$7,194.72"
"2019","1205","6710","$47,174.00"
"2019","1205","6750","$44,679.08"
"2019","1205","6760","$20,132.88"
"2019","1205","7010","$2,568,165.94"
"2019","1205","7020","$176,974.81"
"2019","1205","7021","$21,708.71"
"2019","1205","7022","$50,457.00"
"2019","1205","7025","$12,712,636.92"
"2019","1205","7030","$166,028,435.48"
"2019","1205","7035","$2,578,272.30"
"2019","1205","7042","$338,305.65"
"2019","1205","7045","$8,544.80"
"2019","1205","7050","$3,418,723.46"
"2019","1205","7110","$264,277.98"
"2019","1205","7125","$69,119.50"
"2019","1205","7220","$26,480.69"
"2019","1205","7435","$25,522.40"
"2019","1205","7490","$5,854.08"
"2019","1205","7510","$337,023.09"
"2019","1205","7520","$53,833.23"
"2019","1205","7610","$352,635.00"
"2019","1205","7630","$121,568.50"
"2019","1205","8115","$35,000.00"
"2019","1205","8415","$0.00"
"2019","1205","9310","$182,465.39"
"2019","1205","9905","($160.00)"
"2019","1205","AD26","$34,607.47"
"2019","1205","B502","$115,058.47"
"2019","1205","B510","$217,000.00"
"2019","1205","B540","$221,035.36"
"2019","1205","B554","$49,445.00"
"2019","1205","B599","$39,409.15"
"2019","1205","C1AA","$2,278.86"
"2019","1205","D301","$395,021.42"
"2019","1205","D302","$15,693,611.71"
"2019","1205","D303","$271,392.50"
"2019","1205","D304","$6,420,419.12"
"2019","1205","D305","$12,678,026.16"
"2019","1205","D306","$625,940.50"
"2019","1205","D307","$2,956,020.72"
