Proj+A1:H8ectID,ProjectName,ProjectPrettyName,ProjectAbbreviation,IsJointDevelopmentCaseStudy,CSISmodifiedDate,CSISmodifiedBy,IsPerformanceBasedLogistics,PlatformPortfolio,ObligatedAmount,MinOfFiscalYear,MaxOfFiscalYear,TopPlatformPortfolio,TopPlatformPortfolioObligatedAmount,TopParentID,TopParentIDObligatedAmount,Investigate,Wrong,Replacement,Notes,
1632,COMBAT GRANDE,COMBAT GRANDE,3GBZ,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,-32833,1992,1992,Aircraft and Drones,-32833,GENERAL MOTORS,-32833,,,,,
118,COMMANCHE,COMMANCHE,1AII,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,2047721,1998,2003,Aircraft and Drones,1030000,LOCKHEED MARTIN,1000000,,,,,
1579,CRASH P-10,CRASH P-10,3DPH,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,361715,1991,1992,Aircraft and Drones,323000,NULL,361715,Unknown,,,,
642,CV HELO (SH-60F) ,CV HELO (SH-60F) ,231,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,79496078.59,2007,2016,Aircraft and Drones,36857347.03,LOCKHEED MARTIN,44861408,,,,,
129,CV-7 BUFFALO,CV-7 BUFFALO,1AVE,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,754221,1990,1992,Aircraft and Drones,712000,NULL,754221,,,,,
1406,CX-3,CX-3,3ACC,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,17159233,1990,2003,Aircraft and Drones,8596942,BOEING,15287924,,,, Boeing C-17 Globemaster III,
38,DD 963 ,DD 963 ,140,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,756846,2012,2014,Aircraft and Drones,756846,BOEING,756846,Unknown,,,,
731,E-1 TRACER,E-1 TRACER,2AEA,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1076752,1991,1994,Aircraft and Drones,911000,GRUMMAN,1037827,,,,,
1371,E-10 ,E-10 ,377,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,34607261.76,2004,2011,Aircraft and Drones,25262250,BOEING,25000000,,,,,
732,E-2 HAWKEYE,E-2 HAWKEYE,2AEB,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,5318208135,1989,2016,Aircraft and Drones,663482029,NORTHROP GRUMMAN,2232608432,,,,,
1387,E-2C ,E-2C ,397,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,4550667.564,2006,2016,Aircraft and Drones,1071959,LOCKHEED MARTIN,1918380,,,,,
1358,E-2C ADVANCED HAWKEYE ,E-2C ADVANCED HAWKEYE ,364,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,7516477968,2004,2016,Aircraft and Drones,1548307617,NORTHROP GRUMMAN,7369208746,,,,,
681,E-2C REPRODUCTION ,E-2C REPRODUCTION ,276,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1302509486,2004,2016,Aircraft and Drones,144335039.3,NORTHROP GRUMMAN,923836644.6,,,,,
21,E-4 (AABNCP) ,E-4 (AABNCP) ,122,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,992065898.7,2006,2016,Aircraft and Drones,180071279.1,BOEING,927239168.1,,,,,
1434,E-5,E-5,3AEE,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,400807,1990,1993,Aircraft and Drones,141000,NULL,370882,,,,,
620,E-6A (TACAMO) ,E-6A (TACAMO) ,207,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,530265831.7,1991,2016,Aircraft and Drones,102924982.8,ROCKWELL COLLINS,282452896.1,,,,,
1372,EA-18G ,EA-18G ,378,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,3620243537,2004,2016,Aircraft and Drones,479008129.3,BOEING,2640205052,,,,,
733,EA-3,EA-3,2AEC,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,4705148,1990,2003,Aircraft and Drones,856582,NULL,1548259,,,,,
734,EA-6B PROWLER,EA-6B PROWLER,2AED,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,2864841332,1988,2011,Aircraft and Drones,380735151,NORTHROP GRUMMAN,792019088,,,,,
5,EF-111A ,EF-111A ,104,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1523944.347,2007,2014,Aircraft and Drones,489947,NULL,813412.1498,,,,,
103,EH-1H ELECTRONIC,EH-1H ELECTRONIC,1AHO,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,3682354,1991,1993,Other Products,1369000,NULL,3275705,,,,,
1761,ENGINE GAS TURB AN/32 85-,ENGINE GAS TURB AN/32 85-180,3HXE,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,10218527,1990,2003,Aircraft and Drones,2893666,ALLIED SIGNAL,5936517,,,,,
1770,ENGINE TEST STAND,ENGINE TEST STAND,3HXR,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,5573743,1990,2000,Aircraft and Drones,4531669,AAR,2889274,,,,,
801,ES-3A VIKING,ES-3A VIKING,2BCD,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,2511865,2000,2003,Aircraft and Drones,997096,SIERRACIN,997096,,,,,
1828,F/A-18 E/F ,F/A-18 E/F ,549,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,29754409263,2004,2016,Aircraft and Drones,4262753165,BOEING,25025954436,,,,,
25,F/A-18A/B/C/D ,F/A-18A/B/C/D ,126,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1071407149,2006,2016,Aircraft and Drones,228476687.4,BOEING,860702199.3,,,,,
671,F/A-22 ,F/A-22 ,265,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,39087437515,2003,2016,Aircraft and Drones,6391778364,LOCKHEED MARTIN,32374159474,,,,,
741,F-10 SKY KNIGHT,F-10 SKY KNIGHT,2AFI,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,3289765,1991,1994,Aircraft and Drones,1166648,GENERAL ELECTRIC,1605932,,,,,
1507,F-100 Engine,F-100 Engine,3BSR,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,11288684898,1990,2011,Aircraft and Drones,1121385000,UNITED TECH,8716620211,,,,,
1893,F-100 SUPER SABRE,F-100 SUPER SABRE,AFG,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,20581909.86,1990,2011,Aircraft and Drones,4954165,NULL,7472346,,,,,
1509,F-100 UPGRADE,F-100 UPGRADE,3BST,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,79533121.8,1991,2011,Aircraft and Drones,45063389,UNITED TECH,66737006.8,,,,,
1505,F-101,F-101,3BSP,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1747938694,1990,2010,Aircraft and Drones,201452182,GENERAL ELECTRIC,879298710.2,,,,,
742,F-101 VOODO,F-101 VOODO,2AFJ,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,-2333,1993,1994,Aircraft and Drones,99825,MARTIN MARIETTA,130225,,,,,
1443,F-101 VOODOO,F-101 VOODOO,3AFJ,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,5571066,1990,2003,Aircraft and Drones,1556231,NULL,4095152,,,,,
1451,F-102 DELTA DAGGER,F-102 DELTA DAGGER,3AFT,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,756082,1990,1996,Aircraft and Drones,501545,LOCKHEED,463320,,,,,
1506,F-103,F-103,3BSQ,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,32469631,1991,1999,Aircraft and Drones,10192953,CANADIAN COMMERCIAL CORPORATION,25637306,,,,,
1444,F-104 STARFIGHTER,F-104 STARFIGHTER,3AFK,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,28755662,1990,2002,Aircraft and Drones,18364000,NULL,28327262,,,,,
1445,F-105 THUNDERCHIEF,F-105 THUNDERCHIEF,3AFL,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,175375,1991,1995,Aircraft and Drones,80040,NULL,126040,,,,,
1446,F-106 DELTA DART,F-106 DELTA DART,3AFM,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,12738429,1990,2002,Aircraft and Drones,6564000,NORTHROP GRUMMAN,8334822,,,,,
1508,F-108,F-108,3BSS,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1764180169,1990,2003,Aircraft and Drones,440248179,CFM INTERNATIONAL,1726544372,,,,,
1504,F-110,F-110,3BSN,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,3159182375,1990,2010,Aircraft and Drones,482149846,GENERAL ELECTRIC,2526447955,,,,,
1447,F-111,F-111,3AFN,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1009269566,1990,2003,Aircraft and Drones,197867000,NULL,407474970,,,,,
743,F-111 TFX,F-111 TFX,2AFN,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,198049,1993,2000,Aircraft and Drones,163163,NULL,163163,,,,,
1319,F-111A/D/E/F ,F-111A/D/E/F ,315,NULL,06:09.3,Automated stats update byCSIS\GSanders,NULL,Aircraft,0,2008,2008,NULL,NULL,NULL,NULL,,,,,
1453,F-117 STEALTH,F-117 STEALTH,3AFV,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,52686093,1995,2003,Aircraft and Drones,42159713,LOCKHEED MARTIN,33747926,,,,,
1438,F-12,F-12,3AFE,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,33301561,1990,2002,Aircraft and Drones,8622933,NULL,29408180,,,,,
744,F-14 TOMCAT,F-14 TOMCAT,2AFU,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,5348383759,1988,2011,Aircraft and Drones,1237079000,GRUMMAN,2040942701,,,,,
23,F-15 ,F-15 ,124,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,5649288605,2005,2016,Aircraft and Drones,2213050839,BOEING,2589835371,,,,,
1892,F-15 EAGLE,F-15 EAGLE,AFF,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,19050544694,1990,2014,Aircraft and Drones,2741028516,MCDONNELL DOUGLAS [BOEING],10399483873,,,,,
24,F-16 ,F-16 ,125,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,3779733116,2004,2016,Aircraft and Drones,534757669.4,LOCKHEED MARTIN,1121216043,,,,,
1894,F-16 FALCON,F-16 FALCON,AFH,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,24940157117,1990,2016,Aircraft and Drones,3149143000,GENERAL DYNAMICS,8008386480,,,,,
1442,F-17,F-17,3AFI,NULL,22:55.2,CSIS\GSanders,NULL,Aircraft,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,
746,F-18 HORNET,F-18 HORNET,2AFX,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,32307405013,1988,2016,Aircraft and Drones,3496859969,MCDONNELL DOUGLAS [BOEING],16056416725,,,,,
1436,F-22 Raptor,F-22 Raptor,3AFB,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,22154118252,1990,2012,Aircraft and Drones,3109391680,LOCKHEED MARTIN,12153453205,,,,,
736,F-4 PHANTOM,F-4 PHANTOM,2AFC,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,111318281,1989,2003,Aircraft and Drones,27894370,NULL,37903890,,,,,
1891,F-4 PHANTOM II,F-4 PHANTOM II,AFC,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,921208970.2,1990,2016,Aircraft and Drones,103930000,NULL,382744492.3,,,,,
811,F404-GE-400 OR 402,F404-GE-400 OR 402,2BJM,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,252596664,1998,2003,Aircraft and Drones,127752846,GENERAL ELECTRIC,208183565,,,,,
807,F404-RR-408 ENGINE,F404-RR-408 ENGINE,2BJG,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,12334863,1997,2003,Aircraft and Drones,5111784,NULL,4373876,,,,,
806,F405-RR-401 ENGINE,F405-RR-401 ENGINE,2BJF,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,113897997,1997,2003,Aircraft and Drones,29020858,ROLLS ROYCE,113553159,,,,,
812,F414-GE-400,F414-GE-400,2BJN,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,942703302,1998,2011,Aircraft and Drones,429357444,GENERAL ELECTRIC,939758695,,,,,
738,F-5 FREEDOM FIGHTER,F-5 FREEDOM FIGHTER,2AFE,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,677077823.7,1990,2011,Aircraft and Drones,119498000,NULL,329898452,,,,,
1320,F-5E ,F-5E ,316,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,69058069.28,2007,2016,Aircraft and Drones,27882525.94,NORTHROP GRUMMAN,61618826.26,,,,,
737,F-6 SKYRAY,F-6 SKYRAY,2AFD,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,30889405,1993,2002,Aircraft and Drones,11365075,NULL,14468707,,,,,
1448,F-80 SHOOTING STAR,F-80 SHOOTING STAR,3AFP,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,736436,1990,1998,Aircraft and Drones,256608,NULL,537119,,,,,
1449,F-86 SABRE,F-86 SABRE,3AFR,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,586004,1990,2001,Aircraft and Drones,263233,SAIC,403431,,,,,
740,F-9 COUGAR,F-9 COUGAR,2AFH,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,5886940,1990,1995,Aircraft and Drones,2208329,NULL,1926299,,,,,
1796,FB-111A ,FB-111A ,403,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,218293.2791,2007,2014,Aircraft and Drones,150000,NULL,218293.2791,,,,,
79,FCA ,FCA ,183,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,562325968.4,2007,2015,Aircraft and Drones,243772070,L3 COMMUNICATIONS,559941346.6,False Claims Act?,,,,
659,GLOBAL HAWK ,GLOBAL HAWK ,252,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,4322549124,2004,2016,Aircraft and Drones,622705241.8,NORTHROP GRUMMAN,4012017046,,,,,
2,H-1 UPGRADE ,H-1 UPGRADE ,101,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,7152384126,2004,2016,Aircraft and Drones,1044684511,TEXTRON,6227250417,,,,,
802,H100-T400-CP400 PT-6T-3,H100-T400-CP400 PT-6T-3,2BCE,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,146138328,1990,2003,Aircraft and Drones,48780967,ROLLS ROYCE,80128023,,,,,
752,H-13 SIOUX,H-13 SIOUX,2AHG,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,27764143,1991,2003,Aircraft and Drones,20868706,UNITED TECH,14322043,,,,,
764,H-19 CHICSASAW,H-19 CHICSASAW,2AHU,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1660096,1990,1996,Aircraft and Drones,584000,UNITED TECH,584000,,,,,
1456,H-3 JOLLY GREEN GIANT,H-3 JOLLY GREEN GIANT,3AHD,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,70861357.95,1990,2009,Aircraft and Drones,31749000,NULL,52326875,,,,,
1455,H-3 SEA KING,H-3 SEA KING,3AHC,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,65500580,1990,2003,Aircraft and Drones,20710031,GENERAL ELECTRIC,48493812,,,,,
767,H-34 SEAHORSE/SEABAT,H-34 SEAHORSE/SEABAT,2AHX,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,773256,1990,1995,Aircraft and Drones,366000,UNITED TECH,395976,,,,,
768,H-37 MOJAVE,H-37 MOJAVE,2AHY,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,14607579,1991,1996,Aircraft and Drones,10304538,NULL,14712352,,,,,
754,H-46 SEA KNIGHT,H-46 SEA KNIGHT,2AHJ,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1081707656,1989,2010,Aircraft and Drones,140933881,BOEING,711937421.3,,,,,
100,H-51,H-51,1AHL,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1809048,1991,1994,Aircraft and Drones,1171048,NULL,1607626,,,,,
755,H-52,H-52,2AHK,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,427345,1992,1998,Aircraft and Drones,342630,L3 COMMUNICATIONS,342630,,,,,
761,H-57 SEARANGER,H-57 SEARANGER,2AHQ,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,74421619,1990,2003,Aircraft and Drones,38098616,RAYTHEON,38098616,,,,,
123,HELICOPTER NEW TRAINING,HELICOPTER NEW TRAINING,1ATH,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,61546223,1999,2003,Aircraft and Drones,27295792,TEXTRON,58253884,,,,,
1901,HH-53 SUPER JOLLY,HH-53 SUPER JOLLY,AHL,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,481583301,1990,2016,Aircraft and Drones,46677051,UNITED TECH,135418636.5,,,,,
621,HHD-60 ,HHD-60 ,208,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,20867162.08,2007,2016,Aircraft and Drones,7151814.475,LOCKHEED MARTIN,14823542.99,,,,,
1382,HLR ,HLR ,390,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,13286538.85,2004,2016,Aircraft and Drones,5963237.233,UNITED TECH,6906947.373,,,,,
1496,I0-360D,I0-360D,3BRI,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,779121,1992,1993,Aircraft and Drones,649261,NULL,779121,Aircraft engine,,,,
1482,J-33,J-33,3BJA,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,456000,1992,1992,Aircraft and Drones,456000,NULL,456000,Aircraft engine,,,,
803,J-52,J-52,2BJB,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,284030522,1989,2003,Aircraft and Drones,79686246,UNITED TECH,187934526,Aircraft engine,,,,
808,J-57,J-57,2BJH,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,12326024,1990,2001,Aircraft and Drones,5062290,NULL,7408093,Aircraft engine,,,,
1483,J-58,J-58,3BJD,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,36055555,1990,2003,Aircraft and Drones,5658596,ROLLS ROYCE,21287306,Aircraft engine,,,,
805,J-60,J-60,2BJE,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1023223,1990,2000,Aircraft and Drones,890000,SABRELINER,886959,Aircraft engine,,,,
1485,J-69,J-69,3BJG,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,96653760,1990,2003,Aircraft and Drones,14697017,NULL,41212696,Aircraft engine,,,,
1487,J-75,J-75,3BJI,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,7459393,1990,1999,Aircraft and Drones,2861000,NULL,5814428,Aircraft engine,,,,
809,J-79,J-79,2BJJ,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,36212048,1990,2003,Aircraft and Drones,5537754,NULL,20689523,Aircraft engine,,,,
810,J-85,J-85,2BJL,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,541414568.5,1990,2010,Aircraft and Drones,137512258,GENERAL ELECTRIC,286612241.5,Aircraft engine,,,,
1462,J9-C TANKER ACT CONV OF 7,J9-C TANKER ACT CONV OF 707,3AME,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,170000,1990,1990,Aircraft and Drones,170000,NULL,170000,,,,,
1834,JPATS ,JPATS ,560,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,4089739135,2000,2016,Aircraft and Drones,699119482.1,RAYTHEON,2512138650,,,,Joint Primary Aircraft Training System,
87,JSF (F-35) ,JSF (F-35) ,198,1,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,59582938771,1997,2016,Aircraft and Drones,12161069095,LOCKHEED MARTIN,49307500731,,,,,
679,JSTARS ,JSTARS ,274,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,3941583777,2003,2016,Aircraft and Drones,400287421,NORTHROP GRUMMAN,3878610798,,,,,
1490,JT3D-3,JT3D-3,3BJM,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,111481,1990,1994,Aircraft and Drones,111721,NULL,111481,,,,,
1491,JT8D-9,JT8D-9,3BJN,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,5976635,1991,1994,Aircraft and Drones,5161000,NULL,6159635,,,,,
625,KC-10A ,KC-10A ,213,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1987697160,2007,2016,Aircraft and Drones,433208386.9,NORTHROP GRUMMAN,1967538369,,,,,
1419,KC-135 STRATOLIFTER,KC-135 STRATOLIFTER,3ACR,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,6140196310,1990,2012,Aircraft and Drones,634768980,BOEING,2656657569,,,,,
77,KC-135R ,KC-135R ,181,0,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1396408799,2004,2016,Aircraft and Drones,265210702.9,BOEING,619396163.8,,,,,
1380,KC-45A,KC-45A,387,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,7953322110,2011,2016,Aircraft and Drones,2979022876,BOEING,7953126006,,,,,
70,KIOWA WARRIOR ,KIOWA WARRIOR ,174,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,2406418483,2005,2016,Aircraft and Drones,412079605.3,TEXTRON,731459297.6,,,,,
32,LAMPS MKIII (SH-60B) ,LAMPS MKIII (SH-60B) ,134,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,338306115.7,2006,2016,Aircraft and Drones,52020572.08,GENERAL ELECTRIC,248261763.8,,,,,
626,LLLBGK ,LLLBGK ,215,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,235564.9531,2007,2007,Aircraft and Drones,235564.9531,PARKER HANNIFIN,235564.9531,,,,,
1872,LONGBOW APACHE ,LONGBOW APACHE ,831,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1598526370,1995,2014,Aircraft and Drones,753743778,BOEING,1214538786,,,,,
616,LONGBOW APACHE BLK III ,LONGBOW APACHE BLK III ,202,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,3743170421,2007,2016,Aircraft and Drones,1360695988,BOEING,3141615227,,,,,
78,LUH ,LUH ,182,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,3296416847,2006,2016,Aircraft and Drones,541947500.9,EADS NV,3292408528,,,,,
1755,MD-4,MD-4,3HDI,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,245097,1991,1994,Aircraft and Drones,74707,NULL,205097,Unknown,,,,
762,MH53E SEA DRAGON,MH53E SEA DRAGON,2AHR,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,274318435,1990,2010,Aircraft and Drones,56576361,UNITED TECH,208762171,,,,,
84,MH-60R ,MH-60R ,191,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,6457952803,2004,2016,Aircraft and Drones,805504468.4,LOCKHEED MARTIN,3872813791,,,,,
687,MH-60S,MH-60S,282,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,2378340962,2004,2016,Aircraft and Drones,378242096,LOCKHEED MARTIN,1109798626,,,,,
956,MK65 ANALOG DIGT CONVERTO,MK65 ANALOG DIGT CONVERTOR,2GBT,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,27000,1991,1991,Aircraft and Drones,27000,NULL,27000,Unknown,,,,
1333,MMA ,MMA ,334,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,19224098565,2004,2016,Aircraft and Drones,3765415225,BOEING,18297457856,,,,,
1778,MODERNIZATION,MODERNIZATION,3HYC,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,52394311,1990,2003,Aircraft and Drones,27873872,RAYTHEON,28944949,Unknown,,,,
1385,MPS ,MPS ,394,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,66346,2008,2009,Aircraft and Drones,126346,TEXTRON,126346,Unknown,,,,
